invoice_id,customer_id,billing_date,billing_period_month,base_amount_inr,gst_amount_inr,total_amount_inr,due_date,payment_status
INV00000001,C0000002,31-03-2026,03-2026,1490.77,268.34,1759.11,15-04-2026,Paid
INV00000002,C0000002,01-03-2026,03-2026,1396.28,251.33,1647.61,16-03-2026,Overdue
INV00000003,C0000002,30-01-2026,01-2026,1427.24,256.9,1684.14,14-02-2026,Paid
INV00000004,C0000002,31-12-2025,12-2025,1528.12,275.06,1803.18,15-01-2026,Paid
INV00000005,C0000002,01-12-2025,12-2025,1502.59,270.47,1773.06,16-12-2025,Paid
INV00000006,C0000002,01-11-2025,11-2025,1433.41,258.01,1691.42,16-11-2025,Unpaid
INV00000007,C0000002,02-10-2025,10-2025,1646.83,296.43,1943.26,17-10-2025,Paid
INV00000008,C0000002,02-09-2025,09-2025,1637.41,294.73,1932.14,17-09-2025,Unpaid
INV00000009,C0000002,03-08-2025,08-2025,1505.66,271.02,1776.68,18-08-2025,Paid
INV00000010,C0000002,04-07-2025,07-2025,1528.94,275.21,1804.15,19-07-2025,Paid
INV00000011,C0000002,04-06-2025,06-2025,1332.81,239.91,1572.72,19-06-2025,Paid
INV00000012,C0000002,05-05-2025,05-2025,1324.12,238.34,1562.46,20-05-2025,Paid
INV00000013,C0000003,22-12-2015,12-2015,3906.85,703.23,4610.08,06-01-2016,Paid
INV00000014,C0000006,31-03-2026,03-2026,787.95,141.83,929.78,15-04-2026,Paid
INV00000015,C0000006,01-03-2026,03-2026,794.6,143.03,937.63,16-03-2026,Overdue
INV00000016,C0000006,30-01-2026,01-2026,770.63,138.71,909.34,14-02-2026,Paid
INV00000017,C0000006,31-12-2025,12-2025,844.19,151.95,996.14,15-01-2026,Unpaid
INV00000018,C0000006,01-12-2025,12-2025,841.58,151.48,993.06,16-12-2025,Paid
INV00000019,C0000006,01-11-2025,11-2025,816.92,147.05,963.97,16-11-2025,Unpaid
INV00000020,C0000006,02-10-2025,10-2025,740.34,133.26,873.6,17-10-2025,Paid
INV00000021,C0000006,02-09-2025,09-2025,855.5,153.99,1009.49,17-09-2025,Paid
INV00000022,C0000006,03-08-2025,08-2025,800.47,144.08,944.55,18-08-2025,Overdue
INV00000023,C0000006,04-07-2025,07-2025,797.72,143.59,941.31,19-07-2025,Unpaid
INV00000024,C0000006,04-06-2025,06-2025,857.1,154.28,1011.38,19-06-2025,Paid
INV00000025,C0000006,05-05-2025,05-2025,767.51,138.15,905.66,20-05-2025,Paid
INV00000026,C0000007,06-07-2025,07-2025,552.61,99.47,652.08,21-07-2025,Overdue
INV00000027,C0000007,06-06-2025,06-2025,467.14,84.09,551.23,21-06-2025,Paid
INV00000028,C0000007,07-05-2025,05-2025,447.97,80.63,528.6,22-05-2025,Unpaid
INV00000029,C0000007,07-04-2025,04-2025,477.57,85.96,563.53,22-04-2025,Paid
INV00000030,C0000007,08-03-2025,03-2025,470.27,84.65,554.92,23-03-2025,Unpaid
INV00000031,C0000007,06-02-2025,02-2025,453.47,81.62,535.09,21-02-2025,Unpaid
INV00000032,C0000007,07-01-2025,01-2025,521.38,93.85,615.23,22-01-2025,Paid
INV00000033,C0000007,08-12-2024,12-2024,513.89,92.5,606.39,23-12-2024,Paid
INV00000034,C0000007,08-11-2024,11-2024,540.2,97.24,637.44,23-11-2024,Paid
INV00000035,C0000007,09-10-2024,10-2024,467.53,84.16,551.69,24-10-2024,Overdue
INV00000036,C0000007,09-09-2024,09-2024,493.16,88.77,581.93,24-09-2024,Paid
INV00000037,C0000007,10-08-2024,08-2024,462.15,83.19,545.34,25-08-2024,Paid
INV00000038,C0000009,31-03-2026,03-2026,868.7,156.37,1025.07,15-04-2026,Unpaid
INV00000039,C0000009,01-03-2026,03-2026,904.9,162.88,1067.78,16-03-2026,Unpaid
INV00000040,C0000009,30-01-2026,01-2026,873.17,157.17,1030.34,14-02-2026,Unpaid
INV00000041,C0000009,31-12-2025,12-2025,869.56,156.52,1026.08,15-01-2026,Unpaid
INV00000042,C0000009,01-12-2025,12-2025,884.76,159.26,1044.02,16-12-2025,Overdue
INV00000043,C0000009,01-11-2025,11-2025,889.82,160.17,1049.99,16-11-2025,Unpaid
INV00000044,C0000009,02-10-2025,10-2025,909.07,163.63,1072.7,17-10-2025,Unpaid
INV00000045,C0000009,02-09-2025,09-2025,915.7,164.83,1080.53,17-09-2025,Overdue
INV00000046,C0000009,03-08-2025,08-2025,876.24,157.72,1033.96,18-08-2025,Paid
INV00000047,C0000009,04-07-2025,07-2025,901.04,162.19,1063.23,19-07-2025,Paid
INV00000048,C0000009,04-06-2025,06-2025,818.72,147.37,966.09,19-06-2025,Unpaid
INV00000049,C0000009,05-05-2025,05-2025,881.36,158.64,1040.0,20-05-2025,Paid
INV00000050,C0000012,31-03-2026,03-2026,476.3,85.73,562.03,15-04-2026,Unpaid
INV00000051,C0000012,01-03-2026,03-2026,489.05,88.03,577.08,16-03-2026,Paid
