complaint_id,customer_id,complaint_date,complaint_type,severity,status,resolution_date
CMP00000001,C0000001,30-06-2020,Data Speed,Major,Unresolved,
CMP00000002,C0000002,01-12-2015,Network Coverage,Moderate,Resolved,02-12-2015
CMP00000003,C0000003,09-10-2014,Wrongful Charge,Major,Unresolved,
CMP00000004,C0000005,05-09-2016,Network Coverage,Severe,Unresolved,
CMP00000005,C0000005,18-04-2014,Recharge Not Credited,Major,Unresolved,
CMP00000006,C0000009,25-03-2014,Wrongful Charge,Moderate,Unresolved,
CMP00000007,C0000009,10-03-2022,Data Speed,Moderate,Resolved,13-03-2022
CMP00000008,C0000010,23-07-2022,Data Speed,Major,Unresolved,
CMP00000009,C0000011,26-09-2021,Recharge Not Credited,Major,Resolved,06-10-2021
CMP00000010,C0000016,14-12-2023,Recharge Not Credited,Moderate,Unresolved,
CMP00000011,C0000016,18-09-2022,Data Speed,Major,Unresolved,
CMP00000012,C0000017,29-09-2022,Data Speed,Minor,Unresolved,
CMP00000013,C0000017,16-06-2021,Service Quality,Major,Resolved,22-06-2021
CMP00000014,C0000018,01-08-2018,Customer Service,Major,Resolved,05-08-2018
CMP00000015,C0000019,22-12-2025,Wrongful Charge,Minor,Unresolved,
CMP00000016,C0000022,30-08-2021,Service Quality,Moderate,Resolved,31-08-2021
CMP00000017,C0000022,31-07-2019,Data Speed,Minor,Resolved,01-08-2019
CMP00000018,C0000025,25-07-2016,Connection Down,Major,Resolved,31-07-2016
CMP00000019,C0000025,01-12-2022,Customer Service,Severe,Resolved,06-12-2022
CMP00000020,C0000026,18-05-2020,Wrongful Charge,Major,Resolved,18-05-2020
CMP00000021,C0000027,01-09-2024,Data Speed,Minor,Unresolved,
CMP00000022,C0000028,29-03-2020,Recharge Not Credited,Minor,Resolved,05-04-2020
CMP00000023,C0000029,23-01-2024,Billing Error,Moderate,Unresolved,
CMP00000024,C0000030,25-12-2025,Wrongful Charge,Moderate,Resolved,28-12-2025
CMP00000025,C0000030,22-07-2024,Connection Down,Major,Resolved,27-07-2024
CMP00000026,C0000036,26-07-2019,Wrongful Charge,Major,Resolved,02-08-2019
CMP00000027,C0000036,24-03-2022,Customer Service,Moderate,Resolved,31-03-2022
CMP00000028,C0000039,06-01-2019,Data Speed,Minor,Resolved,10-01-2019
CMP00000029,C0000040,06-07-2018,Customer Service,Major,Unresolved,
CMP00000030,C0000042,13-10-2020,Wrongful Charge,Minor,Resolved,17-10-2020
CMP00000031,C0000045,07-07-2014,Wrongful Charge,Major,Unresolved,
CMP00000032,C0000047,21-03-2021,Wrongful Charge,Moderate,Resolved,23-03-2021
CMP00000033,C0000048,18-08-2018,Recharge Not Credited,Moderate,Resolved,21-08-2018
CMP00000034,C0000048,20-01-2024,Customer Service,Minor,Resolved,25-01-2024
CMP00000035,C0000049,18-03-2023,Billing Error,Moderate,Unresolved,
CMP00000036,C0000049,17-05-2017,Customer Service,Moderate,Resolved,25-05-2017
CMP00000037,C0000052,18-01-2022,Network Coverage,Severe,Unresolved,
CMP00000038,C0000053,31-01-2019,Network Coverage,Moderate,Unresolved,
CMP00000039,C0000054,15-11-2016,Service Quality,Major,Unresolved,
CMP00000040,C0000056,17-02-2015,Customer Service,Major,Unresolved,
CMP00000041,C0000056,14-09-2024,Connection Down,Minor,Unresolved,
CMP00000042,C0000056,16-08-2014,Network Coverage,Major,Resolved,19-08-2014
CMP00000043,C0000057,17-08-2020,Network Coverage,Minor,Unresolved,
CMP00000044,C0000060,09-02-2019,Customer Service,Minor,Resolved,18-02-2019
CMP00000045,C0000064,12-02-2020,Service Quality,Moderate,Unresolved,
CMP00000046,C0000065,01-05-2022,Connection Down,Severe,Unresolved,
CMP00000047,C0000067,08-02-2018,Wrongful Charge,Minor,Unresolved,
CMP00000048,C0000071,08-11-2023,Network Coverage,Moderate,Resolved,11-11-2023
CMP00000049,C0000071,05-11-2014,Connection Down,Minor,Resolved,11-11-2014
CMP00000050,C0000072,13-08-2018,Connection Down,Minor,Resolved,20-08-2018
CMP00000051,C0000073,20-09-2023,Network Coverage,Moderate,Resolved,27-09-2023
CMP00000052,C0000076,19-11-2021,Wrongful Charge,Major,Resolved,23-11-2021
CMP00000053,C0000077,02-09-2022,Data Speed,Minor,Unresolved,
CMP00000054,C0000077,10-09-2025,Network Coverage,Moderate,Unresolved,
CMP00000055,C0000077,01-03-2018,Data Speed,Minor,Unresolved,
CMP00000056,C0000077,31-08-2025,Connection Down,Moderate,Resolved,01-09-2025
CMP00000057,C0000078,21-03-2024,Billing Error,Moderate,Unresolved,
CMP00000058,C0000078,25-11-2014,Customer Service,Major,Resolved,01-12-2014
CMP00000059,C0000078,10-07-2025,Recharge Not Credited,Major,Resolved,17-07-2025
CMP00000060,C0000079,08-07-2016,Customer Service,Moderate,Unresolved,
CMP00000061,C0000080,08-10-2018,Wrongful Charge,Moderate,Unresolved,
CMP00000062,C0000081,08-04-2018,Service Quality,Minor,Unresolved,
CMP00000063,C0000082,13-09-2016,Billing Error,Severe,Resolved,15-09-2016
CMP00000064,C0000083,17-01-2021,Billing Error,Moderate,Unresolved,
CMP00000065,C0000083,28-02-2023,Connection Down,Minor,Resolved,01-03-2023
CMP00000066,C0000085,04-08-2016,Network Coverage,Minor,Resolved,05-08-2016
CMP00000067,C0000087,05-08-2017,Customer Service,Minor,Unresolved,
CMP00000068,C0000089,15-12-2016,Connection Down,Major,Resolved,19-12-2016
CMP00000069,C0000091,23-12-2023,Wrongful Charge,Moderate,Unresolved,
CMP00000070,C0000092,28-12-2024,Billing Error,Minor,Unresolved,
CMP00000071,C0000092,16-03-2022,Data Speed,Major,Resolved,21-03-2022
CMP00000072,C0000093,20-05-2019,Customer Service,Major,Resolved,25-05-2019
CMP00000073,C0000098,26-08-2017,Service Quality,Moderate,Unresolved,
CMP00000074,C0000100,09-07-2017,Wrongful Charge,Moderate,Unresolved,
CMP00000075,C0000100,28-02-2023,Connection Down,Moderate,Unresolved,
CMP00000076,C0000100,05-04-2019,Recharge Not Credited,Moderate,Unresolved,
CMP00000077,C0000100,09-12-2014,Recharge Not Credited,Moderate,Resolved,13-12-2014
CMP00000078,C0000101,03-04-2016,Wrongful Charge,Moderate,Unresolved,
CMP00000079,C0000102,12-06-2015,Data Speed,Moderate,Unresolved,
CMP00000080,C0000102,10-11-2021,Customer Service,Moderate,Unresolved,
CMP00000081,C0000103,21-08-2025,Network Coverage,Minor,Unresolved,
CMP00000082,C0000103,31-07-2023,Customer Service,Major,Resolved,08-08-2023
CMP00000083,C0000107,23-09-2014,Wrongful Charge,Severe,Resolved,29-09-2014
CMP00000084,C0000108,26-03-2023,Connection Down,Major,Unresolved,
CMP00000085,C0000108,21-07-2023,Data Speed,Severe,Resolved,30-07-2023
CMP00000086,C0000110,07-03-2015,Customer Service,Moderate,Unresolved,
CMP00000087,C0000112,12-08-2017,Connection Down,Moderate,Resolved,15-08-2017
CMP00000088,C0000115,25-06-2019,Wrongful Charge,Moderate,Resolved,02-07-2019
CMP00000089,C0000118,28-02-2023,Service Quality,Minor,Resolved,02-03-2023
CMP00000090,C0000118,26-01-2014,Service Quality,Minor,Resolved,28-01-2014
CMP00000091,C0000122,17-03-2021,Billing Error,Moderate,Resolved,18-03-2021
CMP00000092,C0000122,26-08-2023,Data Speed,Moderate,Resolved,28-08-2023
CMP00000093,C0000122,15-05-2020,Billing Error,Major,Resolved,18-05-2020
CMP00000094,C0000122,25-03-2019,Wrongful Charge,Major,Resolved,01-04-2019
CMP00000095,C0000123,06-04-2023,Connection Down,Moderate,Resolved,08-04-2023
CMP00000096,C0000126,16-12-2017,Connection Down,Minor,Unresolved,
CMP00000097,C0000127,07-09-2023,Network Coverage,Moderate,Unresolved,
CMP00000098,C0000127,30-12-2018,Data Speed,Moderate,Resolved,05-01-2019
CMP00000099,C0000127,31-08-2025,Service Quality,Major,Resolved,02-09-2025
CMP00000100,C0000128,02-01-2019,Billing Error,Minor,Unresolved,
CMP00000101,C0000129,08-09-2016,Network Coverage,Moderate,Unresolved,
CMP00000102,C0000133,24-08-2023,Wrongful Charge,Moderate,Unresolved,
CMP00000103,C0000134,28-01-2021,Service Quality,Minor,Unresolved,
CMP00000104,C0000134,23-08-2025,Service Quality,Moderate,Resolved,26-08-2025
CMP00000105,C0000134,10-12-2016,Wrongful Charge,Moderate,Resolved,15-12-2016
CMP00000106,C0000135,30-11-2019,Customer Service,Major,Unresolved,
CMP00000107,C0000136,03-08-2021,Connection Down,Major,Resolved,11-08-2021
CMP00000108,C0000137,12-07-2022,Service Quality,Major,Unresolved,
CMP00000109,C0000139,11-01-2023,Network Coverage,Moderate,Unresolved,
CMP00000110,C0000140,20-05-2014,Billing Error,Minor,Resolved,22-05-2014
CMP00000111,C0000143,10-03-2023,Wrongful Charge,Minor,Resolved,14-03-2023
CMP00000112,C0000143,25-10-2024,Network Coverage,Minor,Resolved,02-11-2024
CMP00000113,C0000144,30-06-2025,Service Quality,Moderate,Unresolved,
CMP00000114,C0000147,31-01-2015,Billing Error,Severe,Unresolved,
CMP00000115,C0000147,05-01-2020,Billing Error,Minor,Resolved,13-01-2020
CMP00000116,C0000148,09-07-2022,Wrongful Charge,Moderate,Unresolved,
CMP00000117,C0000149,23-08-2022,Billing Error,Moderate,Unresolved,
CMP00000118,C0000149,23-03-2022,Connection Down,Moderate,Resolved,26-03-2022
CMP00000119,C0000149,11-11-2018,Recharge Not Credited,Minor,Resolved,18-11-2018
CMP00000120,C0000151,09-02-2019,Customer Service,Moderate,Unresolved,
CMP00000121,C0000152,20-07-2017,Billing Error,Minor,Resolved,26-07-2017
CMP00000122,C0000153,24-01-2022,Customer Service,Minor,Resolved,26-01-2022
CMP00000123,C0000154,04-04-2018,Recharge Not Credited,Moderate,Resolved,13-04-2018
CMP00000124,C0000155,16-04-2017,Wrongful Charge,Major,Unresolved,
CMP00000125,C0000155,13-12-2016,Data Speed,Moderate,Resolved,13-12-2016
CMP00000126,C0000156,23-06-2022,Network Coverage,Major,Resolved,02-07-2022
CMP00000127,C0000158,25-12-2016,Recharge Not Credited,Major,Resolved,02-01-2017
CMP00000128,C0000163,18-07-2020,Network Coverage,Severe,Resolved,21-07-2020
CMP00000129,C0000166,15-09-2018,Network Coverage,Moderate,Resolved,24-09-2018
CMP00000130,C0000167,20-06-2015,Connection Down,Minor,Unresolved,
CMP00000131,C0000169,26-09-2025,Connection Down,Moderate,Resolved,03-10-2025
CMP00000132,C0000170,03-07-2014,Wrongful Charge,Major,Resolved,06-07-2014
CMP00000133,C0000171,30-05-2016,Connection Down,Major,Unresolved,
CMP00000134,C0000172,11-10-2023,Wrongful Charge,Major,Unresolved,
CMP00000135,C0000173,22-05-2016,Billing Error,Moderate,Unresolved,
CMP00000136,C0000173,11-08-2016,Service Quality,Minor,Resolved,16-08-2016
CMP00000137,C0000175,30-11-2020,Data Speed,Moderate,Unresolved,
CMP00000138,C0000176,11-05-2018,Customer Service,Major,Resolved,12-05-2018
CMP00000139,C0000178,26-09-2014,Data Speed,Minor,Unresolved,
CMP00000140,C0000179,08-10-2014,Service Quality,Moderate,Unresolved,
CMP00000141,C0000180,20-05-2022,Network Coverage,Minor,Resolved,26-05-2022
CMP00000142,C0000181,17-09-2016,Recharge Not Credited,Minor,Unresolved,
CMP00000143,C0000182,28-05-2018,Service Quality,Major,Unresolved,
CMP00000144,C0000183,01-03-2021,Network Coverage,Moderate,Unresolved,
CMP00000145,C0000183,05-10-2017,Wrongful Charge,Moderate,Unresolved,
CMP00000146,C0000184,16-04-2020,Connection Down,Moderate,Resolved,25-04-2020
CMP00000147,C0000186,23-04-2018,Network Coverage,Major,Unresolved,
CMP00000148,C0000186,31-03-2024,Recharge Not Credited,Moderate,Resolved,09-04-2024
CMP00000149,C0000188,28-11-2023,Data Speed,Minor,Resolved,03-12-2023
CMP00000150,C0000188,05-03-2025,Billing Error,Minor,Resolved,10-03-2025
CMP00000151,C0000189,20-10-2025,Recharge Not Credited,Minor,Resolved,25-10-2025
CMP00000152,C0000191,04-07-2019,Data Speed,Minor,Unresolved,
CMP00000153,C0000192,13-11-2017,Recharge Not Credited,Minor,Unresolved,
CMP00000154,C0000192,06-02-2016,Service Quality,Major,Unresolved,
CMP00000155,C0000194,17-10-2016,Recharge Not Credited,Major,Unresolved,
CMP00000156,C0000197,07-02-2026,Recharge Not Credited,Major,Resolved,08-02-2026
CMP00000157,C0000197,28-01-2022,Customer Service,Major,Resolved,04-02-2022
CMP00000158,C0000199,15-10-2018,Network Coverage,Major,Unresolved,
CMP00000159,C0000200,25-01-2023,Data Speed,Major,Unresolved,
CMP00000160,C0000201,06-10-2018,Connection Down,Major,Unresolved,
CMP00000161,C0000201,03-08-2016,Connection Down,Moderate,Resolved,03-08-2016
CMP00000162,C0000201,28-11-2017,Network Coverage,Minor,Resolved,08-12-2017
CMP00000163,C0000203,08-06-2020,Wrongful Charge,Severe,Resolved,14-06-2020
CMP00000164,C0000206,13-02-2017,Customer Service,Major,Resolved,16-02-2017
CMP00000165,C0000207,18-01-2020,Connection Down,Minor,Resolved,24-01-2020
CMP00000166,C0000207,11-08-2019,Customer Service,Minor,Resolved,16-08-2019
CMP00000167,C0000209,20-04-2023,Customer Service,Minor,Resolved,20-04-2023
CMP00000168,C0000212,13-06-2015,Wrongful Charge,Minor,Resolved,15-06-2015
CMP00000169,C0000214,13-01-2018,Recharge Not Credited,Minor,Unresolved,
CMP00000170,C0000214,02-05-2019,Wrongful Charge,Moderate,Resolved,07-05-2019
CMP00000171,C0000214,05-11-2021,Connection Down,Major,Resolved,10-11-2021
CMP00000172,C0000216,19-09-2014,Customer Service,Major,Unresolved,
CMP00000173,C0000218,29-04-2017,Wrongful Charge,Minor,Resolved,08-05-2017
CMP00000174,C0000220,14-01-2024,Wrongful Charge,Moderate,Unresolved,
CMP00000175,C0000220,02-06-2018,Billing Error,Minor,Resolved,03-06-2018
CMP00000176,C0000220,06-11-2017,Connection Down,Major,Resolved,14-11-2017
CMP00000177,C0000220,03-01-2015,Customer Service,Moderate,Resolved,10-01-2015
CMP00000178,C0000222,05-02-2026,Billing Error,Moderate,Unresolved,
CMP00000179,C0000223,16-09-2023,Connection Down,Major,Unresolved,
CMP00000180,C0000223,04-04-2015,Data Speed,Minor,Resolved,12-04-2015
CMP00000181,C0000224,17-05-2022,Customer Service,Severe,Unresolved,
CMP00000182,C0000224,17-07-2016,Recharge Not Credited,Moderate,Resolved,26-07-2016
CMP00000183,C0000224,22-02-2019,Network Coverage,Moderate,Resolved,02-03-2019
CMP00000184,C0000225,20-05-2020,Service Quality,Major,Resolved,27-05-2020
CMP00000185,C0000226,29-08-2015,Recharge Not Credited,Major,Resolved,07-09-2015
CMP00000186,C0000229,05-05-2023,Wrongful Charge,Major,Resolved,06-05-2023
CMP00000187,C0000230,09-08-2018,Service Quality,Moderate,Unresolved,
CMP00000188,C0000230,26-10-2014,Service Quality,Severe,Resolved,01-11-2014
CMP00000189,C0000230,09-11-2025,Service Quality,Minor,Resolved,10-11-2025
CMP00000190,C0000230,22-10-2018,Service Quality,Minor,Resolved,22-10-2018
CMP00000191,C0000233,04-05-2023,Service Quality,Minor,Unresolved,
CMP00000192,C0000235,08-06-2019,Network Coverage,Major,Unresolved,
CMP00000193,C0000235,22-09-2024,Data Speed,Major,Resolved,25-09-2024
CMP00000194,C0000237,15-09-2021,Connection Down,Major,Resolved,22-09-2021
CMP00000195,C0000238,22-03-2014,Connection Down,Major,Unresolved,
CMP00000196,C0000239,06-11-2015,Wrongful Charge,Major,Unresolved,
CMP00000197,C0000239,05-07-2024,Data Speed,Moderate,Resolved,11-07-2024
CMP00000198,C0000239,31-12-2014,Customer Service,Minor,Resolved,05-01-2015
CMP00000199,C0000240,27-12-2018,Recharge Not Credited,Moderate,Resolved,29-12-2018
CMP00000200,C0000242,27-09-2017,Billing Error,Moderate,Unresolved,
CMP00000201,C0000243,22-06-2017,Wrongful Charge,Minor,Resolved,22-06-2017
CMP00000202,C0000246,24-01-2016,Service Quality,Moderate,Unresolved,
CMP00000203,C0000246,09-02-2018,Recharge Not Credited,Major,Resolved,10-02-2018
CMP00000204,C0000247,27-07-2017,Billing Error,Moderate,Resolved,27-07-2017
CMP00000205,C0000249,31-10-2021,Network Coverage,Major,Unresolved,
