contract_id,customer_id,plan_id,contract_type,contract_length_months,start_date,end_date,auto_renew,renewal_status
CN000001,C0000002,PL017,Fiber Broadband,24,01-01-2014,22-12-2015,Yes,Renewed
CN000002,C0000003,PL021,Enterprise,18,11-11-2015,04-05-2017,Yes,Not Renewed
CN000003,C0000004,PL006,Prepaid Mobile,12,18-10-2014,13-10-2015,No,Renewed
CN000004,C0000006,PL025,Smart Home,12,20-06-2018,15-06-2019,Yes,Renewed
CN000005,C0000007,PL007,Postpaid Mobile,24,13-01-2024,02-01-2026,Yes,Cancelled
CN000006,C0000008,PL005,Prepaid Mobile,18,11-09-2024,05-03-2026,Yes,Active
CN000007,C0000012,PL007,Postpaid Mobile,18,11-08-2018,02-02-2020,No,Active
CN000008,C0000014,PL009,Postpaid Mobile,24,10-07-2024,30-06-2026,Yes,Renewed
CN000009,C0000024,PL005,Prepaid Mobile,12,01-05-2024,26-04-2025,Yes,Auto-Renewed
CN000010,C0000026,PL005,Prepaid Mobile,24,19-07-2021,09-07-2023,Yes,Renewed
CN000011,C0000027,PL005,Prepaid Mobile,12,14-01-2022,09-01-2023,Yes,Active
CN000012,C0000028,PL007,Postpaid Mobile,12,28-09-2023,22-09-2024,No,Renewed
CN000013,C0000029,PL021,Enterprise,24,04-05-2019,23-04-2021,Yes,Renewed
CN000014,C0000031,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Renewed
CN000015,C0000035,PL009,Postpaid Mobile,12,21-08-2021,16-08-2022,Yes,Renewed
CN000016,C0000036,PL018,Fiber Broadband,24,01-01-2014,22-12-2015,No,Auto-Renewed
CN000017,C0000037,PL010,Postpaid Mobile,24,13-09-2023,02-09-2025,No,Pending
CN000018,C0000038,PL008,Postpaid Mobile,12,14-02-2017,09-02-2018,No,Renewed
CN000019,C0000039,PL009,Postpaid Mobile,12,02-03-2016,25-02-2017,Yes,Renewed
CN000020,C0000042,PL009,Postpaid Mobile,18,07-05-2018,29-10-2019,No,Renewed
CN000021,C0000043,PL006,Prepaid Mobile,36,01-01-2014,16-12-2016,Yes,Renewed
