feedback_id,customer_id,feedback_date,csat_score,nps_score,channel,feedback_category
FB00000001,C0000002,13-03-2025,5,7,App Rating,Network
FB00000002,C0000002,01-08-2019,4,9,Email Survey,Network
FB00000003,C0000003,10-08-2019,3,0,IVR Survey,Pricing
FB00000004,C0000003,08-05-2024,3,0,App Rating,Network
FB00000005,C0000004,17-05-2017,3,7,App Rating,App Experience
FB00000006,C0000004,13-05-2024,3,6,SMS Survey,Network
FB00000007,C0000004,04-05-2019,5,6,App Rating,Support
FB00000008,C0000005,23-07-2025,3,6,Email Survey,Overall Experience
FB00000009,C0000005,17-01-2020,1,6,IVR Survey,Support
FB00000010,C0000005,02-01-2017,1,6,SMS Survey,Pricing
FB00000011,C0000006,28-11-2025,4,4,App Rating,App Experience
FB00000012,C0000006,02-01-2019,2,4,Call Centre,Billing
FB00000013,C0000007,06-08-2016,2,7,Call Centre,Network
FB00000014,C0000007,08-01-2026,4,7,Call Centre,Network
FB00000015,C0000008,31-10-2025,2,4,App Rating,Network
FB00000016,C0000009,09-06-2022,4,7,App Rating,Support
FB00000017,C0000011,28-10-2025,2,6,SMS Survey,Network
FB00000018,C0000012,10-07-2019,3,9,Call Centre,Overall Experience
FB00000019,C0000012,12-01-2015,4,8,IVR Survey,Support
FB00000020,C0000012,12-09-2015,3,9,Call Centre,Network
FB00000021,C0000012,02-11-2022,5,7,Email Survey,App Experience
FB00000022,C0000013,16-03-2015,3,6,Email Survey,App Experience
FB00000023,C0000013,25-03-2017,5,7,SMS Survey,Billing
FB00000024,C0000013,10-06-2020,4,7,App Rating,App Experience
FB00000025,C0000013,28-08-2022,3,5,SMS Survey,Support
FB00000026,C0000014,29-05-2022,3,7,Email Survey,Support
FB00000027,C0000015,28-07-2016,4,9,SMS Survey,App Experience
FB00000028,C0000015,20-04-2020,4,8,SMS Survey,Pricing
FB00000029,C0000015,25-11-2018,5,8,Call Centre,Billing
FB00000030,C0000016,06-09-2020,3,3,Call Centre,Network
FB00000031,C0000017,16-06-2018,3,9,App Rating,Overall Experience
FB00000032,C0000019,09-07-2024,2,2,Call Centre,Pricing
FB00000033,C0000019,03-09-2017,1,2,Call Centre,Billing
FB00000034,C0000019,04-12-2018,2,2,Call Centre,Billing
FB00000035,C0000020,29-10-2020,3,7,App Rating,Support
FB00000036,C0000022,04-05-2019,5,9,Email Survey,Billing
FB00000037,C0000024,18-01-2019,3,2,SMS Survey,Overall Experience
FB00000038,C0000024,02-11-2021,2,2,Call Centre,Overall Experience
FB00000039,C0000026,11-03-2023,1,6,SMS Survey,Pricing
FB00000040,C0000026,01-05-2022,3,6,SMS Survey,Support
FB00000041,C0000027,18-09-2022,3,7,Call Centre,Billing
FB00000042,C0000028,01-03-2023,4,6,IVR Survey,Billing
FB00000043,C0000028,06-07-2021,5,7,IVR Survey,Billing
FB00000044,C0000030,14-02-2017,4,6,Email Survey,Network
FB00000045,C0000031,18-08-2015,3,6,Call Centre,Support
FB00000046,C0000031,27-05-2015,2,5,App Rating,Billing
FB00000047,C0000032,28-11-2014,5,7,App Rating,Pricing
FB00000048,C0000033,03-12-2018,3,7,Email Survey,Support
FB00000049,C0000033,29-08-2021,4,6,SMS Survey,Overall Experience
FB00000050,C0000034,26-09-2023,4,5,Call Centre,Overall Experience
FB00000051,C0000035,26-06-2019,2,6,App Rating,Billing
FB00000052,C0000036,27-06-2022,3,4,IVR Survey,Pricing
FB00000053,C0000036,18-10-2023,3,5,Email Survey,Support
FB00000054,C0000036,15-02-2021,1,6,IVR Survey,Network
FB00000055,C0000037,14-05-2020,4,6,IVR Survey,App Experience
FB00000056,C0000037,24-03-2018,3,6,SMS Survey,App Experience
FB00000057,C0000038,19-08-2020,2,6,IVR Survey,Pricing
FB00000058,C0000038,21-07-2017,2,5,Email Survey,Billing
FB00000059,C0000038,07-06-2018,4,4,App Rating,App Experience
FB00000060,C0000039,01-12-2020,4,5,App Rating,Billing
FB00000061,C0000039,16-02-2024,3,6,App Rating,Pricing
FB00000062,C0000040,22-01-2016,3,7,Call Centre,Network
FB00000063,C0000041,22-12-2016,4,5,Call Centre,Overall Experience
FB00000064,C0000041,27-08-2025,5,6,IVR Survey,App Experience
FB00000065,C0000041,29-04-2025,5,6,Email Survey,Billing
FB00000066,C0000044,04-04-2016,3,9,App Rating,Support
FB00000067,C0000044,24-10-2019,4,8,App Rating,App Experience
FB00000068,C0000045,20-09-2020,3,0,Email Survey,Overall Experience
FB00000069,C0000045,10-02-2018,3,2,Email Survey,Network
FB00000070,C0000045,27-07-2025,1,2,App Rating,Overall Experience
FB00000071,C0000046,05-01-2014,4,4,Email Survey,Overall Experience
FB00000072,C0000046,13-03-2020,3,5,SMS Survey,Overall Experience
FB00000073,C0000046,11-07-2018,2,5,IVR Survey,Billing
FB00000074,C0000047,16-06-2023,4,8,Email Survey,Support
FB00000075,C0000048,16-10-2018,1,4,SMS Survey,Pricing
FB00000076,C0000048,02-10-2016,3,6,App Rating,Billing
FB00000077,C0000049,23-10-2021,1,2,IVR Survey,App Experience
FB00000078,C0000049,14-02-2026,2,2,Email Survey,Overall Experience
FB00000079,C0000051,27-02-2026,2,5,App Rating,App Experience
FB00000080,C0000052,08-01-2014,3,7,App Rating,Billing
FB00000081,C0000053,14-09-2019,4,8,SMS Survey,Support
FB00000082,C0000054,29-07-2017,2,7,SMS Survey,Network
FB00000083,C0000055,09-06-2016,5,7,SMS Survey,Billing
FB00000084,C0000055,13-02-2021,5,7,IVR Survey,Pricing
FB00000085,C0000055,16-09-2022,3,7,IVR Survey,Overall Experience
FB00000086,C0000056,07-01-2021,1,1,Email Survey,Network
FB00000087,C0000057,23-05-2023,3,9,SMS Survey,Pricing
FB00000088,C0000058,14-12-2025,1,2,Call Centre,Pricing
FB00000089,C0000059,02-06-2024,4,5,Email Survey,Support
FB00000090,C0000060,18-08-2014,4,8,Call Centre,Pricing
FB00000091,C0000060,07-02-2019,3,6,Email Survey,Billing
FB00000092,C0000060,29-10-2014,3,7,IVR Survey,Overall Experience
FB00000093,C0000062,18-10-2023,3,7,Email Survey,Support
FB00000094,C0000063,15-04-2016,3,5,Email Survey,Network
FB00000095,C0000064,31-12-2019,3,1,IVR Survey,Network
FB00000096,C0000065,02-06-2024,4,3,Call Centre,App Experience
FB00000097,C0000065,16-03-2018,4,4,Call Centre,Support
FB00000098,C0000065,05-09-2024,4,4,SMS Survey,Overall Experience
FB00000099,C0000066,08-12-2014,3,1,App Rating,Network
FB00000100,C0000067,22-10-2024,3,5,Call Centre,Support
FB00000101,C0000067,17-10-2020,4,6,Call Centre,Support
FB00000102,C0000068,12-02-2018,3,4,SMS Survey,Billing
FB00000103,C0000070,11-08-2014,3,9,IVR Survey,Pricing
FB00000104,C0000070,29-05-2024,5,7,Email Survey,App Experience
FB00000105,C0000070,09-06-2024,5,9,IVR Survey,Overall Experience
FB00000106,C0000070,08-10-2023,3,7,SMS Survey,App Experience
FB00000107,C0000070,27-07-2017,3,8,SMS Survey,Overall Experience
FB00000108,C0000070,05-05-2021,3,8,Email Survey,Overall Experience
FB00000109,C0000070,13-11-2015,4,7,App Rating,Overall Experience
FB00000110,C0000072,12-12-2014,2,6,App Rating,App Experience
FB00000111,C0000072,07-07-2015,4,8,App Rating,Pricing
FB00000112,C0000073,14-08-2021,3,9,SMS Survey,App Experience
FB00000113,C0000073,19-12-2024,3,9,Email Survey,Support
FB00000114,C0000074,24-11-2015,5,8,IVR Survey,App Experience
FB00000115,C0000074,22-09-2017,3,9,Email Survey,Billing
FB00000116,C0000075,16-11-2018,3,9,SMS Survey,Support
FB00000117,C0000075,30-06-2020,5,10,Call Centre,Billing
FB00000118,C0000075,27-02-2023,3,8,IVR Survey,Support
FB00000119,C0000076,01-06-2015,2,5,Email Survey,Support
FB00000120,C0000077,02-02-2024,2,4,Call Centre,App Experience
FB00000121,C0000078,14-08-2016,3,6,Call Centre,Network
FB00000122,C0000078,15-06-2014,1,6,Call Centre,Network
FB00000123,C0000079,22-08-2017,3,9,Email Survey,Support
FB00000124,C0000079,03-06-2021,3,9,Call Centre,Pricing
FB00000125,C0000079,04-11-2021,3,9,SMS Survey,Billing
FB00000126,C0000079,09-11-2019,4,9,IVR Survey,Network
FB00000127,C0000080,29-12-2022,3,4,App Rating,Billing
FB00000128,C0000081,01-06-2025,5,9,IVR Survey,Overall Experience
FB00000129,C0000082,04-12-2022,5,7,SMS Survey,Network
FB00000130,C0000083,24-10-2022,3,7,IVR Survey,Network
FB00000131,C0000083,28-06-2021,3,5,Email Survey,App Experience
FB00000132,C0000087,16-11-2023,5,10,Email Survey,Network
FB00000133,C0000089,10-11-2024,5,9,IVR Survey,App Experience
FB00000134,C0000089,28-08-2014,5,8,IVR Survey,Pricing
FB00000135,C0000090,03-09-2019,3,8,Email Survey,Overall Experience
FB00000136,C0000091,12-02-2018,5,7,SMS Survey,Pricing
FB00000137,C0000093,18-07-2021,3,6,IVR Survey,App Experience
FB00000138,C0000095,19-10-2024,4,9,IVR Survey,Billing
FB00000139,C0000096,03-04-2019,4,10,App Rating,App Experience
FB00000140,C0000096,03-11-2024,5,10,App Rating,Network
FB00000141,C0000096,12-06-2018,3,10,App Rating,Billing
FB00000142,C0000100,24-04-2015,2,1,App Rating,Pricing
FB00000143,C0000100,23-06-2018,1,0,IVR Survey,Network
FB00000144,C0000100,10-02-2019,2,1,App Rating,Pricing
FB00000145,C0000100,29-05-2023,1,2,SMS Survey,Pricing
FB00000146,C0000101,09-02-2020,2,6,IVR Survey,Overall Experience
FB00000147,C0000103,18-03-2025,2,6,Call Centre,Support
FB00000148,C0000103,12-06-2023,2,6,IVR Survey,Pricing
FB00000149,C0000104,22-03-2026,2,7,IVR Survey,App Experience
FB00000150,C0000104,24-10-2015,4,7,Email Survey,Network
FB00000151,C0000104,21-03-2018,4,5,IVR Survey,Network
FB00000152,C0000106,15-05-2025,4,6,SMS Survey,Network
FB00000153,C0000106,28-12-2017,5,7,App Rating,Overall Experience
FB00000154,C0000108,04-01-2016,4,6,Call Centre,Network
FB00000155,C0000108,20-06-2022,3,5,IVR Survey,Overall Experience
FB00000156,C0000108,04-08-2024,4,7,SMS Survey,App Experience
