device_id,customer_id,brand,model,device_type,device_price_inr,purchase_date,imei
DEV0000001,C0000001,Voltic,V30 5G,Smartphone,21999,02-02-2026,505331931165643
DEV0000002,C0000002,NexaTel,IoT Hub,IoT Device,1999,22-01-2014,962541889592250
DEV0000003,C0000003,Voltic,V30 5G,Smartphone,21999,28-11-2015,879277173239731
DEV0000004,C0000004,Zenith,Z Flip,Smartphone,54999,03-11-2014,310728031516546
DEV0000005,C0000005,Lumen,L Mini,Smartphone,8499,17-11-2014,019599540510133
DEV0000006,C0000006,NexaTel,Smart Sensor,IoT Device,899,12-07-2018,960647895828098
DEV0000007,C0000007,Lumen,L Max,Smartphone,41999,13-01-2024,245806796888694
DEV0000008,C0000008,Zenith,Z Flip,Smartphone,54999,11-09-2024,142417869416369
DEV0000009,C0000009,Lumen,L Mini,Smartphone,8499,28-10-2014,262685349172414
DEV0000010,C0000010,Nexus,Aura 5G,Smartphone,18999,13-02-2026,312917366970466
DEV0000011,C0000011,Zenith,Z Flip,Smartphone,54999,14-06-2015,279324900535302
DEV0000012,C0000012,Nexus,Aura Pro,Smartphone,32999,23-08-2018,659530818357116
DEV0000013,C0000013,Voltic,V30 5G,Smartphone,21999,25-01-2020,694784022287727
DEV0000014,C0000014,Lumen,L Max,Smartphone,41999,05-08-2024,124849627598635
DEV0000015,C0000015,Lumen,L Mini,Smartphone,8499,10-01-2014,768492851607733
DEV0000016,C0000016,Nexus,Aura Pro,Smartphone,32999,12-03-2015,512574649069545
DEV0000017,C0000017,Zenith,Z Flip,Smartphone,54999,27-05-2016,976167456632097
DEV0000018,C0000018,Nexus,Aura 5G,Smartphone,18999,05-02-2014,150104386208612
DEV0000019,C0000019,Nexus,Aura 5G,Smartphone,18999,14-10-2017,639476045264790
DEV0000020,C0000020,Zenith,Z Flip,Smartphone,54999,30-11-2015,959514869972934
DEV0000021,C0000021,Orbit,O7,Smartphone,15999,17-05-2019,666880428116402
DEV0000022,C0000022,Voltic,V30 5G,Smartphone,21999,15-10-2014,350874157473696
