record_id,customer_id,city_id,month,avg_signal_strength_dbm,dropped_call_rate_pct,avg_download_speed_mbps,network_downtime_hours
NQ00000001,C0000001,CT0026,03-2026,-74.3,3.15,25.1,0.87
NQ00000002,C0000001,CT0026,02-2026,-74.3,3.39,64.9,0.13
NQ00000003,C0000001,CT0026,01-2026,-74.3,1.75,68.7,0.46
NQ00000004,C0000002,CT0009,03-2026,-69.9,2.92,73.1,0.17
NQ00000005,C0000002,CT0009,02-2026,-69.9,3.02,75.3,0.33
NQ00000006,C0000002,CT0009,01-2026,-69.9,3.44,18.3,0.51
NQ00000007,C0000003,CT0020,03-2026,-62.4,1.57,54.6,0.58
NQ00000008,C0000003,CT0020,02-2026,-62.4,1.41,27.3,0.52
NQ00000009,C0000003,CT0020,01-2026,-62.4,1.3,72.7,0.1
NQ00000010,C0000004,CT0015,03-2026,-59.2,1.4,83.6,0.18
NQ00000011,C0000004,CT0015,02-2026,-59.2,0.91,95.0,0.34
NQ00000012,C0000004,CT0015,01-2026,-59.2,1.29,80.0,0.6
NQ00000013,C0000005,CT0043,03-2026,-73.7,2.98,37.5,0.41
NQ00000014,C0000005,CT0043,02-2026,-73.7,2.16,66.6,0.45
NQ00000015,C0000005,CT0043,01-2026,-73.7,2.16,51.1,1.34
NQ00000016,C0000006,CT0067,03-2026,-71.1,1.64,63.6,0.18
NQ00000017,C0000006,CT0067,02-2026,-71.1,3.63,34.8,0.51
NQ00000018,C0000006,CT0067,01-2026,-71.1,1.84,18.7,0.22
NQ00000019,C0000007,CT0055,03-2026,-73.1,2.86,25.8,1.31
NQ00000020,C0000007,CT0055,02-2026,-73.1,4.56,40.9,1.24
NQ00000021,C0000007,CT0055,01-2026,-73.1,1.76,55.6,0.1
NQ00000022,C0000008,CT0029,03-2026,-79.4,2.0,46.8,3.11
NQ00000023,C0000008,CT0029,02-2026,-79.4,5.47,26.6,0.53
NQ00000024,C0000008,CT0029,01-2026,-79.4,5.08,36.9,0.38
NQ00000025,C0000009,CT0059,03-2026,-79.8,5.4,23.3,3.71
NQ00000026,C0000009,CT0059,02-2026,-79.8,3.82,44.5,0.77
NQ00000027,C0000009,CT0059,01-2026,-79.8,5.43,43.0,0.65
NQ00000028,C0000010,CT0003,03-2026,-66.0,3.07,34.9,0.63
NQ00000029,C0000010,CT0003,02-2026,-66.0,1.29,47.0,0.82
NQ00000030,C0000010,CT0003,01-2026,-66.0,1.84,65.6,0.71
NQ00000031,C0000011,CT0027,03-2026,-76.0,3.72,25.2,0.12
NQ00000032,C0000011,CT0027,02-2026,-76.0,1.78,40.5,1.2
NQ00000033,C0000011,CT0027,01-2026,-76.0,2.31,47.2,1.96
NQ00000034,C0000012,CT0026,03-2026,-71.0,2.49,17.4,0.68
NQ00000035,C0000012,CT0026,02-2026,-71.0,3.1,45.7,0.66
NQ00000036,C0000012,CT0026,01-2026,-71.0,1.85,69.9,1.35
NQ00000037,C0000013,CT0020,03-2026,-61.1,1.95,85.9,0.3
NQ00000038,C0000013,CT0020,02-2026,-61.1,2.01,72.0,0.89
NQ00000039,C0000013,CT0020,01-2026,-61.1,0.85,43.8,0.34
NQ00000040,C0000014,CT0031,03-2026,-73.6,4.25,42.5,1.84
NQ00000041,C0000014,CT0031,02-2026,-73.6,1.94,24.5,0.68
NQ00000042,C0000014,CT0031,01-2026,-73.6,4.58,68.7,0.69
NQ00000043,C0000015,CT0026,03-2026,-50.6,0.04,40.4,0.01
NQ00000044,C0000015,CT0026,02-2026,-50.6,0.04,95.6,0.0
NQ00000045,C0000015,CT0026,01-2026,-50.6,0.11,64.6,0.02
NQ00000046,C0000016,CT0066,03-2026,-81.7,4.74,27.5,0.25
NQ00000047,C0000016,CT0066,02-2026,-81.7,4.31,26.3,1.72
NQ00000048,C0000016,CT0066,01-2026,-81.7,2.71,17.6,0.23
NQ00000049,C0000017,CT0006,03-2026,-65.2,1.86,82.3,0.94
NQ00000050,C0000017,CT0006,02-2026,-65.2,1.27,78.2,0.18
NQ00000051,C0000017,CT0006,01-2026,-65.2,1.6,25.6,1.31
NQ00000052,C0000018,CT0062,03-2026,-75.4,2.95,24.9,0.48
NQ00000053,C0000018,CT0062,02-2026,-75.4,1.84,19.1,1.81
NQ00000054,C0000018,CT0062,01-2026,-75.4,3.91,46.6,0.3
NQ00000055,C0000019,CT0019,03-2026,-67.9,3.52,79.4,2.71
NQ00000056,C0000019,CT0019,02-2026,-67.9,3.41,49.8,0.35
NQ00000057,C0000019,CT0019,01-2026,-67.9,3.58,16.4,0.75
