payment_id,invoice_id,customer_id,payment_date,amount_inr,payment_method,payment_status
PAY00000001,INV00000001,C0000002,04-04-2026,1759.11,Debit Card,Success
PAY00000002,INV00000002,C0000002,04-04-2026,1647.61,Credit Card,Success
PAY00000003,INV00000003,C0000002,02-02-2026,1684.14,Wallet,Success
PAY00000004,INV00000004,C0000002,14-01-2026,1803.18,UPI,Success
PAY00000005,INV00000005,C0000002,12-12-2025,1773.06,UPI,Success
PAY00000006,INV00000007,C0000002,03-10-2025,1943.26,Wallet,Success
PAY00000007,INV00000009,C0000002,15-08-2025,1776.68,UPI,Success
PAY00000008,INV00000010,C0000002,18-07-2025,1804.15,Wallet,Success
PAY00000009,INV00000011,C0000002,11-06-2025,1572.72,Debit Card,Success
PAY00000010,INV00000012,C0000002,11-05-2025,1562.46,Credit Card,Success
PAY00000011,INV00000013,C0000003,26-12-2015,4610.08,Net Banking,Success
PAY00000012,INV00000014,C0000006,01-04-2026,929.78,Credit Card,Success
PAY00000013,INV00000015,C0000006,10-04-2026,937.63,Debit Card,Success
PAY00000014,INV00000016,C0000006,13-02-2026,909.34,RTGS,Success
PAY00000015,INV00000018,C0000006,11-12-2025,993.06,Credit Card,Success
PAY00000016,INV00000020,C0000006,04-10-2025,873.6,Net Banking,Success
PAY00000017,INV00000021,C0000006,14-09-2025,1009.49,RTGS,Success
PAY00000018,INV00000022,C0000006,12-09-2025,944.55,Net Banking,Success
PAY00000019,INV00000024,C0000006,11-06-2025,1011.38,UPI,Success
PAY00000020,INV00000025,C0000006,05-05-2025,905.66,Auto Debit,Success
PAY00000021,INV00000026,C0000007,07-08-2025,652.08,Credit Card,Success
PAY00000022,INV00000027,C0000007,16-06-2025,551.23,Credit Card,Success
PAY00000023,INV00000029,C0000007,09-04-2025,563.53,UPI,Success
PAY00000024,INV00000032,C0000007,08-01-2025,615.23,Cash,Success
PAY00000025,INV00000033,C0000007,11-12-2024,606.39,Credit Card,Success
PAY00000026,INV00000034,C0000007,13-11-2024,637.44,UPI,Success
PAY00000027,INV00000035,C0000007,22-11-2024,551.69,Credit Card,Success
PAY00000028,INV00000036,C0000007,09-09-2024,581.93,UPI,Success
PAY00000029,INV00000037,C0000007,21-08-2024,545.34,Credit Card,Success
PAY00000030,INV00000042,C0000009,17-01-2026,1044.02,UPI,Success
PAY00000031,INV00000045,C0000009,22-10-2025,1080.53,UPI,Success
PAY00000032,INV00000046,C0000009,03-08-2025,1033.96,RTGS,Success
PAY00000033,INV00000047,C0000009,12-07-2025,1063.23,Debit Card,Success
PAY00000034,INV00000049,C0000009,05-05-2025,1040.0,Debit Card,Success
PAY00000035,INV00000051,C0000012,11-03-2026,577.08,UPI,Success
PAY00000036,INV00000052,C0000012,08-02-2026,598.04,UPI,Success
PAY00000037,INV00000053,C0000012,01-01-2026,612.23,Cash,Success
PAY00000038,INV00000054,C0000012,04-12-2025,621.69,UPI,Success
PAY00000039,INV00000055,C0000012,10-11-2025,595.13,Cash,Success
PAY00000040,INV00000056,C0000012,25-11-2025,577.56,UPI,Success
PAY00000041,INV00000060,C0000012,07-06-2025,579.38,Auto Debit,Success
PAY00000042,INV00000061,C0000012,12-06-2025,558.19,UPI,Success
PAY00000043,INV00000062,C0000014,09-04-2026,1205.02,Debit Card,Success
PAY00000044,INV00000063,C0000014,17-03-2026,1169.85,UPI,Success
PAY00000045,INV00000064,C0000014,11-02-2026,1234.19,UPI,Success
PAY00000046,INV00000066,C0000014,13-12-2025,1141.37,Auto Debit,Success
PAY00000047,INV00000067,C0000014,06-11-2025,1105.66,Net Banking,Success
PAY00000048,INV00000068,C0000014,07-11-2025,1241.56,UPI,Success
PAY00000049,INV00000069,C0000014,03-10-2025,1319.0,UPI,Success
PAY00000050,INV00000070,C0000014,09-08-2025,1164.07,UPI,Success
PAY00000051,INV00000071,C0000014,09-08-2025,1323.28,Auto Debit,Success
PAY00000052,INV00000072,C0000014,07-06-2025,1275.46,Debit Card,Success
PAY00000053,INV00000073,C0000014,30-05-2025,1163.54,RTGS,Success
PAY00000054,INV00000074,C0000015,31-03-2026,703.01,UPI,Success
PAY00000055,INV00000075,C0000015,03-03-2026,670.24,Net Banking,Success
PAY00000056,INV00000076,C0000015,05-02-2026,710.4,Cash,Success
PAY00000057,INV00000077,C0000015,08-02-2026,692.34,Debit Card,Success
PAY00000058,INV00000078,C0000015,13-12-2025,699.45,Debit Card,Success
PAY00000059,INV00000079,C0000015,26-12-2025,661.39,UPI,Success
PAY00000060,INV00000080,C0000015,16-11-2025,776.37,UPI,Success
PAY00000061,INV00000081,C0000015,10-09-2025,738.22,Net Banking,Success
PAY00000062,INV00000083,C0000015,13-08-2025,676.92,UPI,Success
PAY00000063,INV00000084,C0000015,23-07-2025,788.96,Debit Card,Success
PAY00000064,INV00000085,C0000015,14-06-2025,655.29,UPI,Success
PAY00000065,INV00000087,C0000019,08-03-2026,713.84,UPI,Success
PAY00000066,INV00000088,C0000019,06-02-2026,709.76,UPI,Success
PAY00000067,INV00000089,C0000019,04-01-2026,655.51,Net Banking,Success
PAY00000068,INV00000091,C0000019,09-11-2025,626.87,UPI,Success
PAY00000069,INV00000092,C0000019,08-11-2025,662.24,Debit Card,Success
PAY00000070,INV00000094,C0000019,05-08-2025,687.6,UPI,Success
PAY00000071,INV00000095,C0000019,22-08-2025,679.7,Credit Card,Success
PAY00000072,INV00000096,C0000019,24-06-2025,673.19,UPI,Success
PAY00000073,INV00000097,C0000019,16-05-2025,684.72,UPI,Success
PAY00000074,INV00000099,C0000028,23-04-2026,600.22,UPI,Success
PAY00000075,INV00000101,C0000028,26-02-2026,578.77,Wallet,Success
PAY00000076,INV00000102,C0000028,12-12-2025,528.13,Credit Card,Success
PAY00000077,INV00000103,C0000028,18-11-2025,627.37,Credit Card,Success
PAY00000078,INV00000105,C0000028,03-09-2025,575.04,UPI,Success
PAY00000079,INV00000106,C0000028,09-08-2025,554.74,UPI,Success
PAY00000080,INV00000107,C0000028,12-07-2025,604.29,Credit Card,Success
PAY00000081,INV00000108,C0000028,06-06-2025,573.74,UPI,Success
PAY00000082,INV00000109,C0000028,26-06-2025,610.95,UPI,Success
PAY00000083,INV00000110,C0000029,03-04-2026,5075.75,UPI,Success
PAY00000084,INV00000111,C0000029,05-03-2026,5292.42,Credit Card,Success
PAY00000085,INV00000112,C0000029,04-02-2026,4980.69,Credit Card,Success
PAY00000086,INV00000113,C0000029,11-01-2026,5473.17,UPI,Success
PAY00000087,INV00000114,C0000029,16-01-2026,5086.15,Debit Card,Success
PAY00000088,INV00000115,C0000029,10-11-2025,4984.95,UPI,Success
PAY00000089,INV00000116,C0000029,10-10-2025,5644.61,Net Banking,Success
