history_id,customer_id,old_plan_id,new_plan_id,change_date,change_reason
PH0000001,C0000005,PL003,PL010,29-10-2019,Customer Request
PH0000002,C0000005,PL010,PL004,31-08-2015,Customer Request
PH0000003,C0000007,PL007,PL021,22-08-2024,Customer Request
PH0000004,C0000007,PL021,PL001,13-04-2024,Customer Request
PH0000005,C0000007,PL001,PL018,26-07-2024,Upgrade
PH0000006,C0000013,PL001,PL014,30-01-2025,Downgrade
PH0000007,C0000013,PL014,PL024,08-10-2021,Customer Request
PH0000008,C0000013,PL024,PL004,19-10-2024,Customer Request
PH0000009,C0000016,PL004,PL021,28-08-2018,Offer Migration
PH0000010,C0000016,PL021,PL020,10-12-2016,Offer Migration
PH0000011,C0000016,PL020,PL004,03-12-2015,Customer Request
PH0000012,C0000017,PL004,PL016,09-06-2018,Customer Request
PH0000013,C0000019,PL020,PL010,06-09-2018,Upgrade
PH0000014,C0000020,PL004,PL014,09-08-2017,Offer Migration
PH0000015,C0000020,PL014,PL023,20-02-2021,Customer Request
PH0000016,C0000020,PL023,PL018,01-05-2019,Downgrade
PH0000017,C0000021,PL004,PL002,28-04-2022,Upgrade
PH0000018,C0000021,PL002,PL009,29-08-2019,Downgrade
PH0000019,C0000021,PL009,PL023,27-09-2021,Offer Migration
PH0000020,C0000022,PL004,PL023,03-10-2021,Customer Request
PH0000021,C0000022,PL023,PL003,31-03-2020,Upgrade
PH0000022,C0000022,PL003,PL004,30-07-2016,Upgrade
PH0000023,C0000023,PL002,PL005,31-03-2022,Upgrade
PH0000024,C0000028,PL007,PL003,15-05-2025,Offer Migration
PH0000025,C0000028,PL003,PL002,07-06-2024,Downgrade
PH0000026,C0000030,PL020,PL016,16-07-2024,Upgrade
PH0000027,C0000031,PL005,PL012,21-06-2023,Customer Request
PH0000028,C0000031,PL012,PL012,29-05-2016,Customer Request
PH0000029,C0000031,PL012,PL013,21-12-2018,Customer Request
PH0000030,C0000033,PL013,PL010,03-05-2016,Offer Migration
PH0000031,C0000033,PL010,PL004,05-02-2021,Customer Request
PH0000032,C0000033,PL004,PL008,25-12-2016,Upgrade
PH0000033,C0000034,PL002,PL024,28-11-2023,Offer Migration
PH0000034,C0000034,PL024,PL020,02-03-2024,Offer Migration
PH0000035,C0000039,PL009,PL006,03-06-2022,Customer Request
PH0000036,C0000039,PL006,PL006,11-10-2019,Downgrade
PH0000037,C0000040,PL001,PL004,24-01-2021,Downgrade
PH0000038,C0000040,PL004,PL015,24-10-2021,Downgrade
PH0000039,C0000040,PL015,PL019,11-04-2022,Downgrade
PH0000040,C0000041,PL001,PL012,06-03-2024,Offer Migration
PH0000041,C0000041,PL012,PL013,28-05-2019,Upgrade
PH0000042,C0000042,PL009,PL024,28-01-2019,Upgrade
PH0000043,C0000042,PL024,PL003,16-07-2022,Downgrade
PH0000044,C0000043,PL006,PL001,11-03-2018,Offer Migration
PH0000045,C0000043,PL001,PL001,23-11-2019,Upgrade
PH0000046,C0000044,PL005,PL014,24-01-2025,Upgrade
PH0000047,C0000044,PL014,PL005,18-11-2024,Customer Request
PH0000048,C0000045,PL004,PL003,19-01-2015,Upgrade
PH0000049,C0000045,PL003,PL016,23-09-2016,Customer Request
PH0000050,C0000046,PL006,PL009,22-07-2015,Customer Request
PH0000051,C0000049,PL003,PL001,09-12-2016,Offer Migration
PH0000052,C0000051,PL007,PL012,10-03-2019,Customer Request
PH0000053,C0000056,PL003,PL009,23-02-2024,Offer Migration
PH0000054,C0000056,PL009,PL008,27-11-2024,Offer Migration
PH0000055,C0000056,PL008,PL022,18-04-2024,Upgrade
PH0000056,C0000057,PL002,PL002,27-02-2020,Offer Migration
