recharge_id,customer_id,recharge_date,amount_inr,plan_id,payment_method
RC00000001,C0000001,18-01-2026,303.9,PL002,UPI
RC00000002,C0000001,07-02-2026,282.6,PL002,Wallet
RC00000003,C0000004,21-05-2021,313.5,PL006,Credit Card
RC00000004,C0000004,26-09-2021,311.72,PL006,UPI
RC00000005,C0000004,14-03-2016,283.16,PL006,UPI
RC00000006,C0000004,27-01-2024,329.59,PL006,UPI
RC00000007,C0000004,26-09-2023,324.48,PL006,UPI
RC00000008,C0000004,02-05-2025,279.74,PL006,UPI
RC00000009,C0000004,07-11-2025,306.39,PL006,UPI
RC00000010,C0000004,24-04-2025,307.89,PL006,UPI
RC00000011,C0000004,25-04-2023,297.89,PL006,Cash
RC00000012,C0000004,26-05-2019,309.2,PL006,Net Banking
RC00000013,C0000004,13-06-2024,319.27,PL006,RTGS
RC00000014,C0000004,01-06-2022,300.76,PL006,UPI
RC00000015,C0000004,25-03-2021,316.05,PL006,NEFT
RC00000016,C0000004,12-05-2023,308.27,PL006,UPI
RC00000017,C0000004,16-08-2018,309.71,PL006,Wallet
RC00000018,C0000004,03-09-2017,329.79,PL006,Credit Card
RC00000019,C0000004,18-04-2017,322.91,PL006,RTGS
RC00000020,C0000004,17-09-2015,285.76,PL006,Credit Card
RC00000021,C0000005,01-12-2021,373.19,PL003,UPI
RC00000022,C0000005,28-09-2015,376.29,PL003,Debit Card
RC00000023,C0000005,12-06-2016,378.6,PL003,NEFT
RC00000024,C0000005,29-05-2023,412.2,PL003,UPI
RC00000025,C0000005,17-06-2021,367.23,PL003,Auto Debit
RC00000026,C0000005,22-05-2018,360.94,PL003,UPI
RC00000027,C0000005,30-08-2019,431.41,PL003,Credit Card
RC00000028,C0000005,12-07-2021,363.52,PL003,RTGS
RC00000029,C0000005,10-06-2021,381.19,PL003,Debit Card
RC00000030,C0000005,07-12-2016,411.99,PL003,UPI
RC00000031,C0000005,15-04-2022,418.79,PL003,UPI
RC00000032,C0000005,01-05-2018,389.11,PL003,Debit Card
RC00000033,C0000005,07-05-2017,407.93,PL003,Wallet
RC00000034,C0000005,12-09-2023,368.07,PL003,Debit Card
RC00000035,C0000005,15-11-2021,389.91,PL003,UPI
RC00000036,C0000005,09-08-2018,387.56,PL003,Credit Card
RC00000037,C0000005,10-11-2016,368.79,PL003,RTGS
RC00000038,C0000005,16-04-2022,392.82,PL003,Credit Card
RC00000039,C0000008,20-09-2024,263.71,PL005,Net Banking
RC00000040,C0000008,21-12-2025,268.93,PL005,NEFT
RC00000041,C0000008,17-12-2024,248.82,PL005,UPI
RC00000042,C0000008,17-11-2024,229.11,PL005,Debit Card
RC00000043,C0000008,18-02-2026,271.09,PL005,NEFT
RC00000044,C0000008,16-11-2025,245.97,PL005,Wallet
RC00000045,C0000008,10-01-2026,260.29,PL005,UPI
RC00000046,C0000008,04-01-2025,247.69,PL005,Net Banking
RC00000047,C0000008,03-12-2024,237.27,PL005,Cash
RC00000048,C0000008,14-12-2025,229.66,PL005,UPI
RC00000049,C0000008,23-01-2026,245.51,PL005,UPI
RC00000050,C0000008,22-04-2025,239.72,PL005,RTGS
RC00000051,C0000008,26-01-2025,244.39,PL005,UPI
RC00000052,C0000008,18-11-2024,227.01,PL005,Net Banking
RC00000053,C0000008,10-02-2025,232.33,PL005,Debit Card
RC00000054,C0000008,02-06-2025,257.99,PL005,UPI
RC00000055,C0000008,01-10-2024,236.4,PL005,IMPS
RC00000056,C0000008,13-12-2024,261.71,PL005,Credit Card
RC00000057,C0000010,05-03-2026,477.91,PL004,UPI
RC00000058,C0000011,30-12-2021,431.58,PL004,UPI
RC00000059,C0000011,18-03-2021,440.54,PL004,Net Banking
RC00000060,C0000011,08-03-2021,459.54,PL004,Net Banking
RC00000061,C0000011,09-05-2025,436.03,PL004,RTGS
RC00000062,C0000011,09-04-2017,453.42,PL004,Cash
RC00000063,C0000011,08-12-2021,493.65,PL004,Debit Card
RC00000064,C0000011,23-01-2016,449.89,PL004,Wallet
RC00000065,C0000011,14-12-2021,418.73,PL004,Auto Debit
RC00000066,C0000011,10-12-2023,485.63,PL004,UPI
RC00000067,C0000011,02-10-2024,474.97,PL004,Auto Debit
RC00000068,C0000011,24-09-2017,493.58,PL004,UPI
RC00000069,C0000011,07-07-2021,443.91,PL004,UPI
RC00000070,C0000011,20-03-2016,460.12,PL004,Debit Card
RC00000071,C0000011,07-03-2021,450.38,PL004,Wallet
RC00000072,C0000011,25-05-2019,418.65,PL004,UPI
RC00000073,C0000011,01-02-2022,462.44,PL004,Credit Card
RC00000074,C0000011,16-10-2024,470.61,PL004,UPI
RC00000075,C0000011,22-10-2023,428.87,PL004,Debit Card
RC00000076,C0000013,06-11-2023,179.72,PL001,UPI
RC00000077,C0000013,28-04-2024,214.29,PL001,IMPS
RC00000078,C0000013,16-12-2022,217.68,PL001,Debit Card
RC00000079,C0000013,08-04-2022,195.32,PL001,Debit Card
RC00000080,C0000013,17-11-2022,210.39,PL001,UPI
RC00000081,C0000013,23-07-2025,211.65,PL001,Auto Debit
RC00000082,C0000013,26-03-2021,187.69,PL001,UPI
RC00000083,C0000013,11-03-2022,193.92,PL001,UPI
RC00000084,C0000013,05-02-2021,215.37,PL001,UPI
RC00000085,C0000013,15-02-2025,194.8,PL001,Debit Card
RC00000086,C0000013,23-09-2025,197.81,PL001,Auto Debit
RC00000087,C0000013,16-04-2023,211.8,PL001,Net Banking
RC00000088,C0000013,13-12-2021,201.12,PL001,Debit Card
RC00000089,C0000013,02-03-2025,185.53,PL001,UPI
RC00000090,C0000013,20-04-2025,180.78,PL001,UPI
RC00000091,C0000013,14-03-2023,188.3,PL001,UPI
RC00000092,C0000013,24-11-2024,191.1,PL001,Debit Card
RC00000093,C0000013,04-10-2021,216.1,PL001,UPI
RC00000094,C0000016,17-11-2019,420.82,PL004,Credit Card
RC00000095,C0000016,10-07-2017,413.26,PL004,UPI
RC00000096,C0000016,26-09-2019,478.43,PL004,Auto Debit
RC00000097,C0000016,16-03-2015,406.07,PL004,NEFT
RC00000098,C0000016,27-11-2015,406.15,PL004,UPI
RC00000099,C0000016,29-06-2018,422.27,PL004,Debit Card
RC00000100,C0000016,15-11-2018,460.68,PL004,NEFT
RC00000101,C0000016,03-07-2015,441.14,PL004,Credit Card
RC00000102,C0000016,25-04-2015,407.65,PL004,Debit Card
RC00000103,C0000016,23-12-2019,475.25,PL004,Debit Card
RC00000104,C0000016,29-12-2015,410.17,PL004,Net Banking
RC00000105,C0000016,03-06-2017,490.39,PL004,UPI
RC00000106,C0000016,08-02-2017,454.18,PL004,Cash
RC00000107,C0000016,08-12-2019,485.23,PL004,Wallet
RC00000108,C0000016,06-11-2019,468.2,PL004,UPI
RC00000109,C0000016,21-08-2018,411.92,PL004,Net Banking
RC00000110,C0000016,18-03-2017,420.12,PL004,Net Banking
RC00000111,C0000016,29-07-2015,452.36,PL004,Cash
RC00000112,C0000017,19-07-2019,452.12,PL004,Credit Card
RC00000113,C0000017,21-07-2016,455.94,PL004,IMPS
RC00000114,C0000017,01-07-2020,438.23,PL004,UPI
RC00000115,C0000017,28-11-2016,414.81,PL004,UPI
RC00000116,C0000017,15-04-2018,434.15,PL004,UPI
RC00000117,C0000017,24-12-2018,478.22,PL004,UPI
RC00000118,C0000017,10-05-2019,439.57,PL004,UPI
RC00000119,C0000017,25-05-2018,440.48,PL004,Net Banking
RC00000120,C0000017,16-09-2016,476.55,PL004,UPI
RC00000121,C0000017,11-07-2018,452.45,PL004,UPI
RC00000122,C0000017,16-10-2016,445.29,PL004,Auto Debit
RC00000123,C0000017,09-01-2020,449.4,PL004,Net Banking
RC00000124,C0000017,05-04-2020,463.41,PL004,Credit Card
RC00000125,C0000017,18-10-2017,448.5,PL004,UPI
RC00000126,C0000017,06-04-2019,470.72,PL004,Wallet
RC00000127,C0000017,13-01-2017,484.43,PL004,Credit Card
RC00000128,C0000017,13-03-2020,419.46,PL004,UPI
RC00000129,C0000017,31-10-2017,407.99,PL004,UPI
RC00000130,C0000018,19-04-2018,269.12,PL002,UPI
RC00000131,C0000018,15-12-2016,287.21,PL002,IMPS
RC00000132,C0000018,23-05-2024,271.77,PL002,Debit Card
RC00000133,C0000018,30-12-2018,309.05,PL002,Debit Card
RC00000134,C0000018,03-12-2018,326.14,PL002,Credit Card
RC00000135,C0000018,13-10-2015,275.22,PL002,Debit Card
RC00000136,C0000018,02-10-2014,326.53,PL002,Wallet
RC00000137,C0000018,21-01-2018,273.56,PL002,UPI
RC00000138,C0000018,24-01-2024,270.85,PL002,UPI
RC00000139,C0000018,02-10-2014,318.93,PL002,UPI
RC00000140,C0000018,26-03-2021,319.2,PL002,Cash
RC00000141,C0000018,01-12-2018,291.59,PL002,Wallet
RC00000142,C0000018,12-02-2018,276.98,PL002,Auto Debit
RC00000143,C0000018,30-03-2024,272.74,PL002,UPI
RC00000144,C0000018,17-08-2018,301.73,PL002,Wallet
RC00000145,C0000018,23-12-2024,276.93,PL002,UPI
RC00000146,C0000018,14-09-2022,270.21,PL002,Cash
RC00000147,C0000018,01-11-2021,280.41,PL002,Credit Card
RC00000148,C0000020,31-12-2020,428.9,PL004,UPI
RC00000149,C0000020,22-11-2021,417.25,PL004,UPI
RC00000150,C0000020,09-11-2023,483.36,PL004,Net Banking
RC00000151,C0000020,07-03-2023,470.68,PL004,Net Banking
RC00000152,C0000020,29-09-2024,472.79,PL004,Credit Card
RC00000153,C0000020,16-09-2023,439.74,PL004,UPI
RC00000154,C0000020,24-01-2022,474.68,PL004,UPI
RC00000155,C0000020,30-11-2017,491.53,PL004,UPI
RC00000156,C0000020,29-06-2022,467.95,PL004,Net Banking
RC00000157,C0000020,20-08-2023,433.81,PL004,Debit Card
RC00000158,C0000020,16-05-2024,481.53,PL004,NEFT
RC00000159,C0000020,13-04-2018,426.69,PL004,Cash
RC00000160,C0000020,07-03-2017,475.96,PL004,UPI
RC00000161,C0000020,16-10-2018,415.7,PL004,Credit Card
RC00000162,C0000020,13-01-2026,426.85,PL004,Cash
RC00000163,C0000020,16-02-2026,408.02,PL004,Cash
RC00000164,C0000020,28-06-2023,413.68,PL004,Wallet
RC00000165,C0000020,06-12-2015,485.24,PL004,UPI
RC00000166,C0000021,13-01-2025,471.1,PL004,UPI
RC00000167,C0000021,26-10-2019,417.74,PL004,UPI
RC00000168,C0000021,30-09-2020,411.8,PL004,Auto Debit
RC00000169,C0000021,19-01-2026,425.75,PL004,UPI
RC00000170,C0000021,19-01-2023,408.04,PL004,Debit Card
RC00000171,C0000021,09-02-2021,421.8,PL004,IMPS
RC00000172,C0000021,21-11-2022,488.86,PL004,UPI
RC00000173,C0000021,22-09-2021,464.51,PL004,UPI
RC00000174,C0000021,30-04-2022,404.21,PL004,Net Banking
RC00000175,C0000021,24-08-2021,489.94,PL004,UPI
RC00000176,C0000021,17-06-2019,455.85,PL004,UPI
RC00000177,C0000021,17-07-2021,434.57,PL004,Wallet
RC00000178,C0000021,16-09-2020,444.84,PL004,Net Banking
RC00000179,C0000021,07-07-2022,493.28,PL004,UPI
RC00000180,C0000021,16-10-2020,474.98,PL004,Credit Card
RC00000181,C0000021,03-02-2025,455.5,PL004,Credit Card
RC00000182,C0000021,19-03-2020,452.35,PL004,Wallet
RC00000183,C0000021,26-02-2022,454.28,PL004,UPI
RC00000184,C0000022,21-09-2018,479.0,PL004,Credit Card
RC00000185,C0000022,19-07-2016,443.24,PL004,Net Banking
RC00000186,C0000022,21-03-2017,423.22,PL004,Credit Card
RC00000187,C0000022,02-12-2016,463.41,PL004,Cash
RC00000188,C0000022,28-04-2021,470.16,PL004,UPI
RC00000189,C0000022,11-03-2020,407.98,PL004,NEFT
RC00000190,C0000022,24-12-2015,422.1,PL004,UPI
RC00000191,C0000022,17-12-2015,458.58,PL004,UPI
RC00000192,C0000022,01-02-2020,440.29,PL004,RTGS
RC00000193,C0000022,19-07-2021,417.92,PL004,Wallet
RC00000194,C0000022,06-10-2015,442.06,PL004,Net Banking
RC00000195,C0000022,14-07-2016,466.91,PL004,Auto Debit
RC00000196,C0000022,27-03-2020,481.39,PL004,UPI
RC00000197,C0000022,24-01-2017,424.57,PL004,Debit Card
RC00000198,C0000022,15-01-2018,452.67,PL004,UPI
RC00000199,C0000022,13-04-2023,462.15,PL004,Auto Debit
RC00000200,C0000022,27-01-2016,416.39,PL004,UPI
RC00000201,C0000022,05-05-2016,454.16,PL004,UPI
RC00000202,C0000023,26-10-2022,313.52,PL002,Wallet
RC00000203,C0000023,04-02-2022,326.37,PL002,UPI
RC00000204,C0000023,03-04-2022,290.07,PL002,Auto Debit
RC00000205,C0000023,16-11-2022,285.21,PL002,Net Banking
RC00000206,C0000023,04-04-2022,272.32,PL002,Auto Debit
RC00000207,C0000023,09-08-2022,277.53,PL002,Debit Card
RC00000208,C0000023,06-02-2022,300.03,PL002,Debit Card
RC00000209,C0000023,03-09-2022,324.56,PL002,Wallet
RC00000210,C0000023,19-01-2022,275.7,PL002,UPI
RC00000211,C0000023,20-05-2022,278.08,PL002,UPI
RC00000212,C0000023,02-02-2022,307.59,PL002,IMPS
RC00000213,C0000023,24-02-2022,295.49,PL002,UPI
RC00000214,C0000023,08-05-2022,273.25,PL002,RTGS
RC00000215,C0000024,08-09-2024,238.24,PL005,Net Banking
RC00000216,C0000024,05-05-2024,267.73,PL005,Credit Card
RC00000217,C0000024,30-08-2025,235.51,PL005,UPI
RC00000218,C0000024,23-07-2024,237.51,PL005,Cash
RC00000219,C0000024,28-12-2025,228.86,PL005,Credit Card
RC00000220,C0000024,27-09-2025,256.59,PL005,UPI
RC00000221,C0000024,25-02-2025,225.94,PL005,Cash
RC00000222,C0000024,20-04-2025,269.48,PL005,Credit Card
RC00000223,C0000024,15-10-2025,239.76,PL005,UPI
RC00000224,C0000024,26-04-2025,238.64,PL005,Auto Debit
RC00000225,C0000024,30-10-2024,252.65,PL005,Wallet
RC00000226,C0000024,16-11-2025,274.6,PL005,RTGS
RC00000227,C0000024,20-09-2024,238.28,PL005,UPI
RC00000228,C0000024,15-08-2024,241.55,PL005,Wallet
RC00000229,C0000024,25-10-2024,228.36,PL005,Cash
RC00000230,C0000024,10-08-2025,258.14,PL005,UPI
RC00000231,C0000024,07-03-2026,259.86,PL005,Cash
RC00000232,C0000024,20-07-2024,273.16,PL005,UPI
RC00000233,C0000025,20-12-2024,205.6,PL001,Debit Card
RC00000234,C0000025,23-03-2025,205.56,PL001,Credit Card
RC00000235,C0000025,24-12-2024,204.29,PL001,Net Banking
RC00000236,C0000025,11-07-2024,212.76,PL001,Credit Card
RC00000237,C0000025,15-09-2024,188.0,PL001,UPI
RC00000238,C0000025,24-04-2025,205.03,PL001,UPI
RC00000239,C0000025,23-10-2024,199.45,PL001,UPI
RC00000240,C0000025,17-08-2024,210.93,PL001,UPI
RC00000241,C0000025,04-03-2025,179.9,PL001,Net Banking
RC00000242,C0000025,12-09-2024,195.81,PL001,UPI
RC00000243,C0000026,09-11-2023,259.58,PL005,Debit Card
RC00000244,C0000026,25-06-2022,225.55,PL005,UPI
RC00000245,C0000026,10-08-2025,226.62,PL005,Net Banking
RC00000246,C0000026,05-11-2022,256.77,PL005,IMPS
RC00000247,C0000026,23-10-2025,270.72,PL005,UPI
RC00000248,C0000026,12-06-2024,267.88,PL005,Net Banking
RC00000249,C0000026,11-02-2022,234.58,PL005,UPI
RC00000250,C0000026,07-02-2025,250.29,PL005,Auto Debit
RC00000251,C0000026,20-07-2023,246.32,PL005,NEFT
RC00000252,C0000026,21-10-2025,243.06,PL005,UPI
