campaign_id,customer_id,campaign_name,offer_type,contact_date,channel,response,retained_flag
RTC0000001,C0000004,Renewal Nudge,Annual Plan Discount,04-09-2025,SMS,Declined,Yes
RTC0000002,C0000009,Renewal Nudge,Cashback Voucher,08-01-2026,Call,Declined,Yes
RTC0000003,C0000015,Loyalty Save,Extra Data 50GB,23-02-2025,WhatsApp,Accepted,Yes
RTC0000004,C0000016,At-Risk Outreach,Free OTT 3 Months,08-01-2026,WhatsApp,Accepted,No
RTC0000005,C0000017,Loyalty Save,Plan Upgrade Offer,22-05-2025,Email,Accepted,No
RTC0000006,C0000022,Renewal Nudge,Plan Upgrade Offer,06-10-2025,Email,Declined,No
RTC0000007,C0000026,At-Risk Outreach,Cashback Voucher,22-06-2025,Call,No Response,Yes
RTC0000008,C0000028,At-Risk Outreach,Loyalty Discount 10%,17-03-2025,Call,Accepted,Yes
RTC0000009,C0000037,Value Retention,Plan Upgrade Offer,16-11-2025,Email,Accepted,Yes
RTC0000010,C0000038,Value Retention,Extra Data 50GB,14-01-2025,App,Accepted,Yes
RTC0000011,C0000043,Value Retention,Priority Support,24-11-2025,Email,Accepted,Yes
RTC0000012,C0000047,At-Risk Outreach,Extra Data 50GB,10-01-2026,Email,Accepted,Yes
RTC0000013,C0000052,Loyalty Save,Extra Data 50GB,09-03-2026,App,Accepted,Yes
RTC0000014,C0000053,Win-Back Drive,Annual Plan Discount,24-12-2025,App,No Response,Yes
RTC0000015,C0000054,At-Risk Outreach,Loyalty Discount 10%,17-11-2025,WhatsApp,Accepted,Yes
RTC0000016,C0000055,Value Retention,Bill Waiver,15-02-2026,SMS,Accepted,Yes
RTC0000017,C0000056,Loyalty Save,Extra Data 50GB,04-12-2025,App,No Response,Yes
RTC0000018,C0000057,Win-Back Drive,Bill Waiver,14-03-2025,SMS,Declined,Yes
RTC0000019,C0000058,At-Risk Outreach,Free OTT 3 Months,22-01-2025,Call,Accepted,No
RTC0000020,C0000059,Loyalty Save,Bill Waiver,12-07-2025,SMS,No Response,Yes
RTC0000021,C0000061,At-Risk Outreach,Annual Plan Discount,31-01-2025,WhatsApp,Accepted,Yes
RTC0000022,C0000064,Value Retention,Annual Plan Discount,23-01-2025,App,Accepted,No
RTC0000023,C0000066,At-Risk Outreach,Loyalty Discount 10%,01-12-2025,SMS,No Response,No
RTC0000024,C0000067,Renewal Nudge,Loyalty Discount 10%,12-01-2025,WhatsApp,Accepted,Yes
RTC0000025,C0000070,Value Retention,Cashback Voucher,28-11-2025,Call,No Response,Yes
RTC0000026,C0000075,At-Risk Outreach,Cashback Voucher,31-08-2025,SMS,Declined,Yes
RTC0000027,C0000077,Win-Back Drive,Loyalty Discount 10%,11-06-2025,Call,Accepted,No
RTC0000028,C0000078,Win-Back Drive,Cashback Voucher,30-09-2025,SMS,Accepted,Yes
RTC0000029,C0000080,At-Risk Outreach,Bill Waiver,14-07-2025,Call,No Response,Yes
RTC0000030,C0000084,Value Retention,Extra Data 50GB,02-11-2025,WhatsApp,Accepted,Yes
RTC0000031,C0000085,Renewal Nudge,Annual Plan Discount,26-11-2025,SMS,Accepted,Yes
RTC0000032,C0000086,Loyalty Save,Free OTT 3 Months,24-01-2025,SMS,Declined,Yes
RTC0000033,C0000089,Loyalty Save,Annual Plan Discount,10-10-2025,Call,Accepted,Yes
RTC0000034,C0000094,Renewal Nudge,Priority Support,26-12-2025,SMS,Declined,Yes
RTC0000035,C0000097,At-Risk Outreach,Loyalty Discount 10%,24-05-2025,SMS,Declined,No
RTC0000036,C0000101,Win-Back Drive,Bill Waiver,07-07-2025,Call,No Response,Yes
RTC0000037,C0000104,Win-Back Drive,Loyalty Discount 10%,25-09-2025,Call,No Response,Yes
RTC0000038,C0000106,Renewal Nudge,Priority Support,23-11-2025,Email,Declined,Yes
RTC0000039,C0000110,Loyalty Save,Extra Data 50GB,06-12-2025,WhatsApp,Accepted,Yes
RTC0000040,C0000124,Loyalty Save,Plan Upgrade Offer,21-02-2026,Email,Declined,Yes
RTC0000041,C0000126,At-Risk Outreach,Plan Upgrade Offer,04-02-2025,SMS,Accepted,Yes
RTC0000042,C0000133,Renewal Nudge,Extra Data 50GB,19-04-2025,SMS,Declined,Yes
RTC0000043,C0000135,Renewal Nudge,Annual Plan Discount,17-07-2025,App,Accepted,No
RTC0000044,C0000136,At-Risk Outreach,Plan Upgrade Offer,13-02-2026,App,Declined,Yes
RTC0000045,C0000140,At-Risk Outreach,Plan Upgrade Offer,21-01-2025,Call,Declined,Yes
RTC0000046,C0000147,Loyalty Save,Cashback Voucher,22-09-2025,SMS,Accepted,Yes
RTC0000047,C0000148,Win-Back Drive,Free OTT 3 Months,08-02-2026,SMS,Accepted,Yes
RTC0000048,C0000149,Renewal Nudge,Cashback Voucher,19-01-2026,Call,Declined,No
RTC0000049,C0000155,Loyalty Save,Loyalty Discount 10%,23-03-2025,App,Declined,Yes
RTC0000050,C0000157,At-Risk Outreach,Priority Support,22-01-2025,App,No Response,Yes
RTC0000051,C0000161,At-Risk Outreach,Plan Upgrade Offer,13-05-2025,App,Declined,Yes
RTC0000052,C0000162,Loyalty Save,Priority Support,18-09-2025,App,Accepted,Yes
RTC0000053,C0000164,Win-Back Drive,Free OTT 3 Months,24-03-2026,SMS,Declined,No
RTC0000054,C0000165,Loyalty Save,Cashback Voucher,10-07-2025,App,Accepted,No
RTC0000055,C0000166,Win-Back Drive,Extra Data 50GB,24-04-2025,WhatsApp,Declined,Yes
RTC0000056,C0000167,Renewal Nudge,Bill Waiver,30-01-2026,App,Declined,No
RTC0000057,C0000168,Renewal Nudge,Annual Plan Discount,26-11-2025,WhatsApp,Accepted,No
RTC0000058,C0000172,Loyalty Save,Extra Data 50GB,05-07-2025,App,Declined,Yes
RTC0000059,C0000177,Win-Back Drive,Loyalty Discount 10%,17-04-2025,SMS,Declined,Yes
RTC0000060,C0000178,Value Retention,Free OTT 3 Months,08-05-2025,App,Accepted,Yes
RTC0000061,C0000179,Win-Back Drive,Priority Support,08-11-2025,App,Accepted,No
RTC0000062,C0000180,Value Retention,Bill Waiver,14-01-2025,WhatsApp,Declined,Yes
RTC0000063,C0000185,Loyalty Save,Loyalty Discount 10%,06-09-2025,App,Accepted,Yes
RTC0000064,C0000186,Win-Back Drive,Priority Support,12-03-2026,Email,Declined,Yes
RTC0000065,C0000187,Renewal Nudge,Extra Data 50GB,01-09-2025,WhatsApp,Declined,Yes
RTC0000066,C0000189,Win-Back Drive,Extra Data 50GB,26-10-2025,SMS,Declined,Yes
RTC0000067,C0000192,Loyalty Save,Free OTT 3 Months,29-01-2025,Call,Accepted,Yes
RTC0000068,C0000193,Value Retention,Cashback Voucher,30-10-2025,SMS,No Response,Yes
RTC0000069,C0000194,Loyalty Save,Extra Data 50GB,31-10-2025,Email,Accepted,Yes
RTC0000070,C0000197,Renewal Nudge,Free OTT 3 Months,05-06-2025,WhatsApp,Declined,Yes
RTC0000071,C0000198,At-Risk Outreach,Loyalty Discount 10%,03-02-2025,WhatsApp,No Response,Yes
RTC0000072,C0000199,Win-Back Drive,Priority Support,26-06-2025,App,No Response,Yes
RTC0000073,C0000200,At-Risk Outreach,Plan Upgrade Offer,06-02-2026,Email,Accepted,Yes
RTC0000074,C0000201,Value Retention,Plan Upgrade Offer,02-02-2026,Call,Accepted,Yes
RTC0000075,C0000214,Renewal Nudge,Free OTT 3 Months,03-04-2025,SMS,Accepted,No
RTC0000076,C0000216,Loyalty Save,Priority Support,09-01-2025,SMS,Accepted,No
RTC0000077,C0000221,Renewal Nudge,Bill Waiver,26-11-2025,Call,Declined,Yes
RTC0000078,C0000222,Loyalty Save,Bill Waiver,05-05-2025,Call,Accepted,No
RTC0000079,C0000230,At-Risk Outreach,Extra Data 50GB,24-06-2025,WhatsApp,Accepted,Yes
RTC0000080,C0000232,At-Risk Outreach,Plan Upgrade Offer,09-05-2025,Call,Declined,Yes
RTC0000081,C0000233,At-Risk Outreach,Loyalty Discount 10%,17-02-2025,Call,Accepted,Yes
RTC0000082,C0000235,At-Risk Outreach,Plan Upgrade Offer,03-03-2025,SMS,Accepted,No
RTC0000083,C0000238,Renewal Nudge,Plan Upgrade Offer,21-11-2025,Call,Declined,No
RTC0000084,C0000242,Win-Back Drive,Loyalty Discount 10%,13-01-2026,WhatsApp,No Response,Yes
RTC0000085,C0000244,Win-Back Drive,Loyalty Discount 10%,07-06-2025,SMS,Declined,Yes
RTC0000086,C0000246,Value Retention,Plan Upgrade Offer,03-05-2025,Call,No Response,No
RTC0000087,C0000248,Renewal Nudge,Annual Plan Discount,17-03-2025,Email,Accepted,Yes
RTC0000088,C0000249,Value Retention,Plan Upgrade Offer,17-01-2025,Call,Declined,Yes
RTC0000089,C0000250,Loyalty Save,Loyalty Discount 10%,19-09-2025,WhatsApp,Accepted,Yes
RTC0000090,C0000252,At-Risk Outreach,Bill Waiver,11-12-2025,App,Accepted,Yes
RTC0000091,C0000253,Renewal Nudge,Cashback Voucher,15-04-2025,WhatsApp,Declined,No
RTC0000092,C0000258,At-Risk Outreach,Annual Plan Discount,03-04-2025,SMS,Accepted,Yes
RTC0000093,C0000259,Value Retention,Free OTT 3 Months,08-07-2025,App,Accepted,Yes
RTC0000094,C0000266,At-Risk Outreach,Extra Data 50GB,15-12-2025,WhatsApp,Accepted,Yes
RTC0000095,C0000267,Renewal Nudge,Extra Data 50GB,12-03-2026,Call,Declined,Yes
RTC0000096,C0000272,At-Risk Outreach,Extra Data 50GB,05-09-2025,SMS,No Response,Yes
RTC0000097,C0000276,At-Risk Outreach,Annual Plan Discount,29-03-2026,SMS,No Response,Yes
RTC0000098,C0000279,At-Risk Outreach,Free OTT 3 Months,01-02-2025,WhatsApp,Accepted,Yes
RTC0000099,C0000281,Loyalty Save,Bill Waiver,12-03-2025,Email,Declined,Yes
RTC0000100,C0000282,At-Risk Outreach,Priority Support,19-05-2025,Call,Accepted,Yes
RTC0000101,C0000283,Loyalty Save,Loyalty Discount 10%,25-08-2025,Call,Accepted,Yes
RTC0000102,C0000284,At-Risk Outreach,Annual Plan Discount,14-03-2026,Call,Accepted,Yes
RTC0000103,C0000286,Value Retention,Priority Support,28-06-2025,SMS,No Response,Yes
RTC0000104,C0000288,Loyalty Save,Annual Plan Discount,20-08-2025,SMS,Accepted,Yes
RTC0000105,C0000294,Renewal Nudge,Bill Waiver,22-12-2025,App,Accepted,Yes
RTC0000106,C0000299,Win-Back Drive,Free OTT 3 Months,04-10-2025,Email,Accepted,Yes
RTC0000107,C0000300,At-Risk Outreach,Cashback Voucher,05-10-2025,WhatsApp,Accepted,Yes
RTC0000108,C0000304,At-Risk Outreach,Extra Data 50GB,03-08-2025,Call,Declined,Yes
RTC0000109,C0000310,At-Risk Outreach,Bill Waiver,10-05-2025,Call,Accepted,Yes
RTC0000110,C0000313,At-Risk Outreach,Plan Upgrade Offer,06-01-2026,WhatsApp,Declined,No
RTC0000111,C0000314,Renewal Nudge,Plan Upgrade Offer,23-01-2025,WhatsApp,Accepted,Yes
RTC0000112,C0000316,Win-Back Drive,Plan Upgrade Offer,18-12-2025,Email,Accepted,Yes
RTC0000113,C0000319,Renewal Nudge,Annual Plan Discount,20-11-2025,App,Accepted,No
RTC0000114,C0000320,Win-Back Drive,Free OTT 3 Months,11-01-2026,SMS,Accepted,No
RTC0000115,C0000326,Win-Back Drive,Loyalty Discount 10%,01-01-2025,Call,Declined,Yes
RTC0000116,C0000327,Value Retention,Loyalty Discount 10%,11-02-2026,Email,Declined,Yes
RTC0000117,C0000330,Win-Back Drive,Plan Upgrade Offer,04-06-2025,App,Accepted,Yes
RTC0000118,C0000331,At-Risk Outreach,Annual Plan Discount,18-01-2026,Email,No Response,Yes
RTC0000119,C0000332,Win-Back Drive,Free OTT 3 Months,02-10-2025,WhatsApp,Accepted,Yes
RTC0000120,C0000337,At-Risk Outreach,Priority Support,27-09-2025,App,Accepted,Yes
RTC0000121,C0000338,At-Risk Outreach,Cashback Voucher,27-10-2025,Call,Accepted,Yes
RTC0000122,C0000339,Loyalty Save,Loyalty Discount 10%,02-03-2025,Email,Declined,No
RTC0000123,C0000340,At-Risk Outreach,Annual Plan Discount,13-12-2025,SMS,Declined,Yes
RTC0000124,C0000344,Value Retention,Priority Support,11-11-2025,WhatsApp,Declined,Yes
RTC0000125,C0000345,Renewal Nudge,Cashback Voucher,05-04-2025,Call,Accepted,Yes
RTC0000126,C0000356,Loyalty Save,Bill Waiver,23-02-2025,Email,Declined,Yes
RTC0000127,C0000357,Win-Back Drive,Annual Plan Discount,15-03-2025,Call,Accepted,Yes
RTC0000128,C0000360,Renewal Nudge,Extra Data 50GB,13-08-2025,App,Accepted,Yes
RTC0000129,C0000361,Win-Back Drive,Loyalty Discount 10%,08-05-2025,WhatsApp,Accepted,No
RTC0000130,C0000364,Loyalty Save,Plan Upgrade Offer,19-03-2026,Email,Accepted,Yes
RTC0000131,C0000367,Loyalty Save,Priority Support,19-02-2025,Call,Declined,Yes
RTC0000132,C0000369,Renewal Nudge,Annual Plan Discount,28-10-2025,SMS,Accepted,No
RTC0000133,C0000374,At-Risk Outreach,Bill Waiver,19-06-2025,SMS,Declined,Yes
RTC0000134,C0000375,Win-Back Drive,Free OTT 3 Months,06-06-2025,Email,Accepted,Yes
RTC0000135,C0000377,Win-Back Drive,Extra Data 50GB,03-05-2025,App,No Response,Yes
RTC0000136,C0000378,Renewal Nudge,Cashback Voucher,05-03-2026,Call,Accepted,Yes
RTC0000137,C0000379,Value Retention,Bill Waiver,17-06-2025,Email,No Response,Yes
RTC0000138,C0000382,Renewal Nudge,Loyalty Discount 10%,13-04-2025,Email,Accepted,Yes
RTC0000139,C0000391,Win-Back Drive,Extra Data 50GB,23-04-2025,Call,No Response,Yes
RTC0000140,C0000393,Win-Back Drive,Plan Upgrade Offer,28-05-2025,WhatsApp,No Response,Yes
RTC0000141,C0000397,Renewal Nudge,Bill Waiver,20-04-2025,Email,Declined,Yes
RTC0000142,C0000401,Renewal Nudge,Bill Waiver,09-08-2025,SMS,No Response,Yes
RTC0000143,C0000402,Renewal Nudge,Loyalty Discount 10%,25-08-2025,SMS,Accepted,Yes
RTC0000144,C0000403,At-Risk Outreach,Plan Upgrade Offer,09-09-2025,App,Accepted,Yes
RTC0000145,C0000406,At-Risk Outreach,Extra Data 50GB,25-02-2026,Email,No Response,No
RTC0000146,C0000407,At-Risk Outreach,Annual Plan Discount,13-05-2025,SMS,Accepted,No
RTC0000147,C0000409,Win-Back Drive,Extra Data 50GB,26-06-2025,App,No Response,Yes
RTC0000148,C0000410,Win-Back Drive,Loyalty Discount 10%,03-05-2025,Email,Declined,Yes
RTC0000149,C0000416,Renewal Nudge,Loyalty Discount 10%,06-09-2025,SMS,Accepted,Yes
RTC0000150,C0000418,Value Retention,Cashback Voucher,18-09-2025,WhatsApp,Accepted,Yes
RTC0000151,C0000421,Renewal Nudge,Cashback Voucher,31-01-2025,Call,Accepted,Yes
RTC0000152,C0000424,Win-Back Drive,Bill Waiver,16-10-2025,App,No Response,Yes
RTC0000153,C0000426,Loyalty Save,Annual Plan Discount,21-09-2025,Email,Accepted,Yes
RTC0000154,C0000427,Loyalty Save,Cashback Voucher,18-06-2025,Call,Declined,No
RTC0000155,C0000434,Value Retention,Loyalty Discount 10%,07-10-2025,WhatsApp,No Response,Yes
RTC0000156,C0000436,Win-Back Drive,Cashback Voucher,05-01-2026,WhatsApp,Accepted,Yes
RTC0000157,C0000437,Value Retention,Extra Data 50GB,07-08-2025,Email,Accepted,Yes
RTC0000158,C0000440,Win-Back Drive,Bill Waiver,15-05-2025,App,Declined,No
RTC0000159,C0000445,At-Risk Outreach,Extra Data 50GB,17-03-2025,App,No Response,No
RTC0000160,C0000450,At-Risk Outreach,Priority Support,30-03-2025,Call,Accepted,Yes
RTC0000161,C0000455,At-Risk Outreach,Plan Upgrade Offer,25-09-2025,Email,Accepted,Yes
RTC0000162,C0000457,Renewal Nudge,Extra Data 50GB,01-12-2025,Email,Accepted,Yes
RTC0000163,C0000464,Loyalty Save,Plan Upgrade Offer,20-12-2025,Email,Accepted,Yes
RTC0000164,C0000469,At-Risk Outreach,Bill Waiver,15-12-2025,WhatsApp,No Response,No
RTC0000165,C0000474,Win-Back Drive,Bill Waiver,09-03-2025,Call,No Response,Yes
RTC0000166,C0000477,Win-Back Drive,Loyalty Discount 10%,30-03-2026,Email,Accepted,Yes
RTC0000167,C0000478,Loyalty Save,Free OTT 3 Months,13-08-2025,Call,Accepted,Yes
RTC0000168,C0000480,Renewal Nudge,Extra Data 50GB,13-11-2025,Call,Accepted,Yes
RTC0000169,C0000481,Value Retention,Annual Plan Discount,27-10-2025,App,Declined,Yes
RTC0000170,C0000486,Win-Back Drive,Extra Data 50GB,11-04-2025,Email,No Response,Yes
RTC0000171,C0000489,Win-Back Drive,Bill Waiver,23-04-2025,Email,Declined,Yes
RTC0000172,C0000490,Renewal Nudge,Bill Waiver,14-04-2025,SMS,Declined,Yes
RTC0000173,C0000491,Win-Back Drive,Loyalty Discount 10%,02-05-2025,Call,Accepted,Yes
RTC0000174,C0000493,Value Retention,Bill Waiver,26-02-2025,Email,No Response,Yes
RTC0000175,C0000495,At-Risk Outreach,Annual Plan Discount,29-06-2025,Call,Declined,No
RTC0000176,C0000496,Value Retention,Extra Data 50GB,17-01-2025,Email,Accepted,Yes
RTC0000177,C0000500,At-Risk Outreach,Loyalty Discount 10%,24-12-2025,Call,Accepted,Yes
RTC0000178,C0000501,At-Risk Outreach,Bill Waiver,16-01-2026,Call,Accepted,No
RTC0000179,C0000503,Renewal Nudge,Plan Upgrade Offer,13-12-2025,SMS,Declined,Yes
RTC0000180,C0000505,Win-Back Drive,Extra Data 50GB,20-02-2026,SMS,No Response,Yes
RTC0000181,C0000508,Value Retention,Plan Upgrade Offer,11-06-2025,Email,Declined,Yes
RTC0000182,C0000512,Win-Back Drive,Extra Data 50GB,18-03-2026,WhatsApp,Declined,Yes
RTC0000183,C0000527,Loyalty Save,Bill Waiver,15-03-2026,WhatsApp,Accepted,Yes
RTC0000184,C0000534,Loyalty Save,Plan Upgrade Offer,14-12-2025,WhatsApp,No Response,Yes
RTC0000185,C0000540,At-Risk Outreach,Extra Data 50GB,23-02-2026,Email,Declined,Yes
RTC0000186,C0000541,Win-Back Drive,Priority Support,26-03-2026,Call,Accepted,Yes
RTC0000187,C0000545,Loyalty Save,Annual Plan Discount,01-07-2025,Email,Accepted,Yes
RTC0000188,C0000546,At-Risk Outreach,Extra Data 50GB,26-08-2025,Call,Declined,Yes
RTC0000189,C0000550,Win-Back Drive,Plan Upgrade Offer,31-01-2026,Call,Declined,No
RTC0000190,C0000553,Win-Back Drive,Extra Data 50GB,09-01-2026,Call,Declined,Yes
RTC0000191,C0000554,Loyalty Save,Free OTT 3 Months,12-03-2026,SMS,Declined,Yes
RTC0000192,C0000555,Renewal Nudge,Plan Upgrade Offer,10-01-2025,WhatsApp,No Response,No
RTC0000193,C0000556,Win-Back Drive,Free OTT 3 Months,27-05-2025,App,Declined,Yes
RTC0000194,C0000563,Loyalty Save,Free OTT 3 Months,15-01-2025,Email,Declined,Yes
RTC0000195,C0000564,Win-Back Drive,Bill Waiver,19-09-2025,Email,Accepted,Yes
RTC0000196,C0000565,At-Risk Outreach,Loyalty Discount 10%,15-12-2025,App,Declined,Yes
RTC0000197,C0000571,Win-Back Drive,Cashback Voucher,17-08-2025,Email,Accepted,Yes
RTC0000198,C0000572,At-Risk Outreach,Priority Support,29-09-2025,Call,No Response,No
RTC0000199,C0000574,At-Risk Outreach,Bill Waiver,29-06-2025,Email,Accepted,Yes
RTC0000200,C0000575,Value Retention,Bill Waiver,11-11-2025,Call,Declined,Yes
RTC0000201,C0000577,Win-Back Drive,Cashback Voucher,24-10-2025,Email,Declined,No
RTC0000202,C0000582,At-Risk Outreach,Extra Data 50GB,04-01-2025,WhatsApp,No Response,Yes
RTC0000203,C0000594,Loyalty Save,Plan Upgrade Offer,17-04-2025,Call,Accepted,Yes
RTC0000204,C0000596,Win-Back Drive,Plan Upgrade Offer,28-02-2026,Email,No Response,Yes
RTC0000205,C0000600,Loyalty Save,Bill Waiver,21-11-2025,App,Declined,Yes
RTC0000206,C0000603,At-Risk Outreach,Cashback Voucher,04-03-2026,Email,No Response,No
RTC0000207,C0000605,Value Retention,Loyalty Discount 10%,09-04-2025,App,Declined,Yes
RTC0000208,C0000606,Win-Back Drive,Priority Support,19-06-2025,WhatsApp,Accepted,Yes
RTC0000209,C0000621,Loyalty Save,Priority Support,24-01-2026,Call,Accepted,Yes
RTC0000210,C0000623,At-Risk Outreach,Free OTT 3 Months,22-07-2025,Call,Accepted,Yes
RTC0000211,C0000626,At-Risk Outreach,Priority Support,27-02-2025,App,Declined,Yes
RTC0000212,C0000627,Win-Back Drive,Cashback Voucher,06-09-2025,SMS,Declined,Yes
RTC0000213,C0000628,Win-Back Drive,Priority Support,03-02-2026,Email,Accepted,Yes
RTC0000214,C0000634,Win-Back Drive,Cashback Voucher,14-02-2025,SMS,Accepted,Yes
