store_id,store_name,city_id,state_id,region_id,store_type,opened_date
SR0001,NexaTel Gaya Point,CT0057,ST024,RG04,Experience Centre,19-10-2017
SR0002,NexaTel Amritsar Store,CT0032,ST003,RG01,Mini Store,20-01-2018
SR0003,NexaTel New Delhi Centre,CT0001,ST001,RG01,Mini Store,05-07-2016
SR0004,NexaTel Vijayawada Point,CT0029,ST018,RG03,Owned,14-01-2017
SR0005,NexaTel Kolkata Hub,CT0005,ST022,RG04,Franchise,04-12-2010
SR0006,NexaTel Thiruvananthapuram Point,CT0034,ST017,RG03,Mini Store,26-10-2014
SR0007,NexaTel Udaipur Store,CT0060,ST005,RG01,Mini Store,27-07-2023
SR0008,NexaTel Ranchi Point,CT0025,ST025,RG04,Franchise,17-11-2015
SR0009,NexaTel Amritsar Hub,CT0032,ST003,RG01,Owned,18-04-2025
SR0010,NexaTel Amritsar Hub,CT0032,ST003,RG01,Owned,26-08-2024
SR0011,NexaTel Siliguri Centre,CT0052,ST022,RG04,Experience Centre,25-06-2020
SR0012,NexaTel Chennai Hub,CT0004,ST016,RG03,Franchise,26-05-2015
SR0013,NexaTel Salem Point,CT0044,ST016,RG03,Franchise,11-07-2019
SR0014,NexaTel Ajmer Express,CT0040,ST005,RG01,Experience Centre,28-03-2024
SR0015,NexaTel Warangal Point,CT0043,ST019,RG03,Mini Store,14-01-2020
SR0016,NexaTel Kota Express,CT0050,ST005,RG01,Owned,10-08-2010
SR0017,NexaTel Kochi Express,CT0017,ST017,RG03,Owned,17-03-2011
SR0018,NexaTel Gangtok Express,CT0068,ST028,RG04,Mini Store,23-04-2010
SR0019,NexaTel Mumbai Centre,CT0002,ST010,RG02,Mini Store,15-04-2014
SR0020,NexaTel Imphal Centre,CT0064,ST031,RG04,Experience Centre,18-11-2021
SR0021,NexaTel Mumbai Hub,CT0002,ST010,RG02,Franchise,09-10-2019
SR0022,NexaTel Thiruvananthapuram Express,CT0034,ST017,RG03,Mini Store,15-07-2024
SR0023,NexaTel Dehradun Express,CT0033,ST006,RG01,Owned,05-01-2016
SR0024,NexaTel Agartala Express,CT0066,ST033,RG04,Franchise,19-01-2018
SR0025,NexaTel Durgapur Express,CT0053,ST022,RG04,Franchise,23-01-2017
SR0026,NexaTel Bhagalpur Centre,CT0056,ST024,RG04,Franchise,27-05-2023
SR0027,NexaTel Noida Centre,CT0010,ST004,RG01,Franchise,18-02-2018
SR0028,NexaTel Bhopal Point,CT0014,ST012,RG02,Franchise,14-03-2024
SR0029,NexaTel Noida Hub,CT0010,ST004,RG01,Owned,04-07-2024
SR0030,NexaTel Indore Express,CT0013,ST012,RG02,Owned,13-04-2010
SR0031,NexaTel Indore Store,CT0013,ST012,RG02,Franchise,23-06-2017
SR0032,NexaTel Jammu Express,CT0062,ST008,RG01,Owned,21-01-2022
SR0033,NexaTel Mumbai Centre,CT0002,ST010,RG02,Mini Store,19-09-2021
SR0034,NexaTel Vijayawada Hub,CT0029,ST018,RG03,Franchise,09-04-2025
SR0035,NexaTel Mumbai Centre,CT0002,ST010,RG02,Experience Centre,05-07-2012
SR0036,NexaTel Kollam Store,CT0046,ST017,RG03,Franchise,20-10-2022
SR0037,NexaTel Jamshedpur Hub,CT0058,ST025,RG04,Mini Store,19-03-2021
SR0038,NexaTel Visakhapatnam Hub,CT0018,ST018,RG03,Franchise,15-05-2016
SR0039,NexaTel Bhopal Store,CT0014,ST012,RG02,Franchise,15-01-2025
SR0040,NexaTel Madurai Point,CT0028,ST016,RG03,Experience Centre,15-05-2016
SR0041,NexaTel Panaji Express,CT0063,ST013,RG02,Owned,13-02-2020
SR0042,NexaTel Ahmedabad Hub,CT0008,ST011,RG02,Owned,05-06-2014
SR0043,NexaTel Agra Store,CT0039,ST004,RG01,Franchise,10-06-2021
SR0044,NexaTel Bhubaneswar Store,CT0022,ST023,RG04,Franchise,25-01-2011
SR0045,NexaTel Ludhiana Point,CT0031,ST003,RG01,Mini Store,30-07-2017
SR0046,NexaTel Vadodara Express,CT0020,ST011,RG02,Mini Store,31-07-2016
SR0047,NexaTel Salem Hub,CT0044,ST016,RG03,Owned,02-02-2011
SR0048,NexaTel Thiruvananthapuram Centre,CT0034,ST017,RG03,Franchise,10-09-2017
SR0049,NexaTel Rourkela Point,CT0055,ST023,RG04,Mini Store,17-09-2011
SR0050,NexaTel Varanasi Express,CT0037,ST004,RG01,Franchise,14-10-2015
SR0051,NexaTel Raipur Centre,CT0026,ST027,RG04,Franchise,17-08-2022
SR0052,NexaTel Cuttack Express,CT0054,ST023,RG04,Mini Store,19-01-2019
SR0053,NexaTel Udaipur Express,CT0060,ST005,RG01,Owned,30-07-2011
SR0054,NexaTel Durgapur Hub,CT0053,ST022,RG04,Owned,18-09-2022
SR0055,NexaTel Kollam Point,CT0046,ST017,RG03,Owned,12-04-2019
SR0056,NexaTel Ludhiana Express,CT0031,ST003,RG01,Franchise,06-08-2020
SR0057,NexaTel Guwahati Hub,CT0024,ST026,RG04,Franchise,02-04-2020
SR0058,NexaTel Gwalior Centre,CT0048,ST012,RG02,Owned,19-11-2017
SR0059,NexaTel Coimbatore Hub,CT0016,ST016,RG03,Franchise,14-05-2024
SR0060,NexaTel Ajmer Hub,CT0040,ST005,RG01,Mini Store,25-06-2011
SR0061,NexaTel Pune Point,CT0007,ST010,RG02,Owned,23-10-2013
