subscription_id,customer_id,plan_id,start_date,end_date,billing_cycle,monthly_charge_inr,subscription_status
S0000001,C0000001,PL002,15-01-2026,22-03-2026,Monthly,299.0,Terminated
S0000002,C0000002,PL017,01-01-2014,,Monthly,1499.0,Active
S0000003,C0000003,PL021,11-11-2015,22-12-2015,Annual,4166.0,Terminated
S0000004,C0000004,PL006,18-10-2014,,Annual,300.0,Active
S0000005,C0000005,PL003,20-10-2014,22-10-2023,Monthly,399.0,Terminated
S0000006,C0000006,PL025,20-06-2018,,Monthly,799.0,Active
S0000007,C0000007,PL007,13-01-2024,06-07-2025,Monthly,499.0,Terminated
S0000008,C0000008,PL005,11-09-2024,,Annual,250.0,Active
S0000009,C0000009,PL013,28-10-2014,,Monthly,899.0,Active
S0000010,C0000010,PL004,01-02-2026,22-03-2026,Monthly,449.0,Terminated
S0000011,C0000011,PL004,08-06-2015,,Monthly,449.0,Active
S0000012,C0000012,PL007,11-08-2018,,Monthly,499.0,Active
S0000013,C0000013,PL001,25-01-2020,,Monthly,199.0,Active
S0000014,C0000014,PL009,10-07-2024,,Monthly,999.0,Active
S0000015,C0000015,PL020,02-01-2014,,Monthly,599.0,Active
S0000016,C0000016,PL004,02-03-2015,19-03-2020,Monthly,449.0,Terminated
S0000017,C0000017,PL004,10-05-2016,20-01-2021,Monthly,449.0,Terminated
S0000018,C0000018,,05-02-2014,10-02-2025,Monthly,299.0,Terminated
S0000019,C0000019,PL020,09-10-2017,,Monthly,599.0,Active
S0000020,C0000020,PL004,16-11-2015,,Monthly,449.0,Active
S0000021,C0000021,PL004,02-05-2019,,Monthly,449.0,Active
S0000022,C0000022,PL004,29-09-2014,07-08-2023,Monthly,449.0,Terminated
S0000023,C0000023,PL002,26-12-2021,22-11-2022,Monthly,299.0,Terminated
S0000024,C0000024,PL005,01-05-2024,,Annual,250.0,Active
S0000025,C0000025,PL001,28-06-2024,06-05-2025,Monthly,199.0,Terminated
S0000026,C0000026,PL005,19-07-2021,,Annual,250.0,Active
S0000027,C0000027,PL005,14-01-2022,,Annual,250.0,Active
S0000028,C0000028,PL007,28-09-2023,,Monthly,499.0,Active
S0000029,C0000029,PL021,04-05-2019,,Annual,4166.0,Active
S0000030,C0000030,PL020,15-03-2020,,Monthly,599.0,Active
S0000031,C0000031,PL005,01-01-2014,,Annual,250.0,Active
S0000032,C0000032,PL002,06-07-2015,,Monthly,299.0,Active
S0000033,C0000033,PL013,14-03-2016,,Monthly,899.0,Active
