ticket_id,customer_id,created_date,category,priority,channel,status,first_contact_resolution,assigned_employee_id,resolution_hours,resolution_date
TK00000001,C0000001,08-09-2017,Billing Dispute,Medium,Store,Pending,No,EM00222,,
TK00000002,C0000001,12-01-2022,Slow Data Speed,Medium,Chat,Resolved,Yes,EM00466,25.6,13-01-2022
TK00000003,C0000002,21-09-2015,Network Issue,Low,Store,Pending,No,EM00462,,
TK00000004,C0000002,02-10-2020,Plan Change,Low,App,Resolved,Yes,EM00117,17.8,03-10-2020
TK00000005,C0000002,03-10-2021,Plan Change,Low,App,Resolved,Yes,EM00034,14.1,04-10-2021
TK00000006,C0000003,05-03-2024,Network Issue,High,Chat,Reopened,No,EM00324,,
TK00000007,C0000005,01-02-2021,SIM/Activation,Low,Call,Reopened,No,EM00595,,
TK00000008,C0000005,25-01-2021,Network Issue,Low,App,Pending,No,EM00629,,
TK00000009,C0000005,14-07-2017,Fiber Downtime,Critical,Chat,Resolved,Yes,EM00697,31.9,15-07-2017
TK00000010,C0000006,31-08-2014,SIM/Activation,Medium,Chat,Resolved,Yes,EM00752,4.5,31-08-2014
TK00000011,C0000006,26-08-2019,Recharge Failure,Low,Store,Resolved,Yes,EM00739,41.7,28-08-2019
TK00000012,C0000007,15-08-2023,Call Drop,Medium,App,Resolved,Yes,EM00074,10.3,16-08-2023
TK00000013,C0000009,10-10-2014,Device Support,High,Email,Pending,No,EM00315,,
TK00000014,C0000009,28-11-2022,Account Update,High,App,Resolved,No,EM00261,3.4,28-11-2022
TK00000015,C0000010,10-09-2017,Roaming,High,Call,Reopened,No,EM00420,,
TK00000016,C0000010,02-07-2025,Roaming,Low,Email,Pending,No,EM00330,,
TK00000017,C0000010,06-06-2015,Slow Data Speed,Low,Chat,Pending,No,EM00192,,
TK00000018,C0000010,30-12-2020,Recharge Failure,High,App,Resolved,Yes,EM00281,5.5,30-12-2020
TK00000019,C0000011,16-03-2025,Plan Change,Medium,Chat,Pending,No,EM00738,,
TK00000020,C0000013,22-05-2014,Billing Dispute,Medium,App,Resolved,Yes,EM00332,8.5,22-05-2014
TK00000021,C0000014,04-07-2019,Recharge Failure,Low,App,Resolved,Yes,EM00173,4.5,04-07-2019
TK00000022,C0000014,10-06-2021,Call Drop,Medium,App,Pending,No,EM00690,,
TK00000023,C0000015,28-03-2021,Fiber Downtime,Critical,Call,Resolved,Yes,EM00012,2.9,28-03-2021
TK00000024,C0000016,03-01-2017,Slow Data Speed,Low,Email,Pending,No,EM00297,,
TK00000025,C0000016,30-03-2026,Plan Change,Medium,Store,Reopened,No,EM00296,,
TK00000026,C0000016,12-10-2024,Fiber Downtime,Medium,Chat,Pending,No,EM00339,,
TK00000027,C0000017,08-07-2023,Recharge Failure,Medium,Email,Escalated,No,EM00663,,
TK00000028,C0000017,18-09-2019,Network Issue,Medium,Email,Resolved,Yes,EM00363,8.0,19-09-2019
TK00000029,C0000018,29-07-2020,Plan Change,Low,App,Resolved,Yes,EM00171,8.8,30-07-2020
TK00000030,C0000018,25-12-2018,Slow Data Speed,Medium,Chat,Resolved,Yes,EM00503,18.7,25-12-2018
TK00000031,C0000019,12-11-2016,Payment Issue,Medium,Call,Pending,No,EM00617,,
TK00000032,C0000019,30-03-2017,Account Update,High,App,Pending,No,EM00367,,
TK00000033,C0000021,16-09-2023,Roaming,Medium,App,Resolved,Yes,EM00334,8.9,17-09-2023
TK00000034,C0000021,30-07-2022,Network Issue,High,Email,Pending,No,EM00668,,
TK00000035,C0000022,13-02-2017,Device Support,High,Call,Pending,No,EM00095,,
TK00000036,C0000022,02-07-2018,Roaming,High,Call,Resolved,No,EM00253,17.3,02-07-2018
TK00000037,C0000022,15-10-2021,Recharge Failure,Low,Email,Pending,No,EM00214,,
