usage_id,customer_id,usage_month,data_gb_used,data_sessions
UD00000001,C0000001,03-2026,22.35,1047
UD00000002,C0000001,02-2026,13.24,61
UD00000003,C0000001,01-2026,13.09,1039
UD00000004,C0000002,03-2026,167.23,442
UD00000005,C0000002,02-2026,109.72,481
UD00000006,C0000002,01-2026,121.1,1013
UD00000007,C0000003,03-2026,8.33,352
UD00000008,C0000003,02-2026,15.86,1060
UD00000009,C0000003,01-2026,62.36,1147
UD00000010,C0000004,03-2026,11.2,343
UD00000011,C0000004,02-2026,17.86,913
UD00000012,C0000004,01-2026,18.3,551
UD00000013,C0000005,03-2026,8.49,1189
UD00000014,C0000005,02-2026,23.28,1082
UD00000015,C0000005,01-2026,11.12,864
UD00000016,C0000006,03-2026,18.89,333
UD00000017,C0000006,02-2026,8.81,510
UD00000018,C0000006,01-2026,14.89,274
UD00000019,C0000007,03-2026,18.93,734
UD00000020,C0000007,02-2026,13.79,131
UD00000021,C0000007,01-2026,1.66,125
UD00000022,C0000008,03-2026,12.5,406
UD00000023,C0000008,02-2026,8.6,689
UD00000024,C0000008,01-2026,5.81,392
UD00000025,C0000009,03-2026,56.57,1025
UD00000026,C0000009,02-2026,18.64,407
UD00000027,C0000009,01-2026,10.4,186
UD00000028,C0000010,03-2026,74.76,97
UD00000029,C0000010,02-2026,93.4,937
UD00000030,C0000010,01-2026,31.74,972
UD00000031,C0000011,03-2026,5.91,358
UD00000032,C0000011,02-2026,13.42,801
UD00000033,C0000011,01-2026,23.65,769
UD00000034,C0000012,03-2026,22.02,952
UD00000035,C0000012,02-2026,6.31,303
UD00000036,C0000012,01-2026,5.72,660
UD00000037,C0000013,03-2026,8.52,1096
UD00000038,C0000013,02-2026,34.46,914
UD00000039,C0000013,01-2026,6.83,1162
UD00000040,C0000014,03-2026,37.78,445
UD00000041,C0000014,02-2026,16.91,289
UD00000042,C0000014,01-2026,12.75,879
UD00000043,C0000015,03-2026,54.37,219
UD00000044,C0000015,02-2026,23.33,400
UD00000045,C0000015,01-2026,24.42,282
UD00000046,C0000016,03-2026,8.68,454
UD00000047,C0000016,02-2026,4.86,1102
UD00000048,C0000016,01-2026,2.65,810
UD00000049,C0000017,03-2026,26.53,193
UD00000050,C0000017,02-2026,4.4,867
UD00000051,C0000017,01-2026,27.33,498
UD00000052,C0000018,03-2026,12.84,603
UD00000053,C0000018,02-2026,24.18,245
UD00000054,C0000018,01-2026,9.66,663
UD00000055,C0000019,03-2026,75.59,1105
UD00000056,C0000019,02-2026,13.4,1084
UD00000057,C0000019,01-2026,31.15,373
UD00000058,C0000020,03-2026,13.33,390
UD00000059,C0000020,02-2026,31.38,551
UD00000060,C0000020,01-2026,16.49,875
UD00000061,C0000021,03-2026,14.75,999
UD00000062,C0000021,02-2026,24.67,132
UD00000063,C0000021,01-2026,27.68,1139
UD00000064,C0000022,03-2026,9.52,243
UD00000065,C0000022,02-2026,39.59,973
UD00000066,C0000022,01-2026,35.97,970
UD00000067,C0000023,03-2026,18.56,472
UD00000068,C0000023,02-2026,23.1,224
UD00000069,C0000023,01-2026,32.0,740
UD00000070,C0000024,03-2026,43.76,587
UD00000071,C0000024,02-2026,23.09,857
UD00000072,C0000024,01-2026,33.55,426
UD00000073,C0000025,03-2026,31.37,935
UD00000074,C0000025,02-2026,22.72,112
UD00000075,C0000025,01-2026,2.8,313
UD00000076,C0000026,03-2026,18.75,740
UD00000077,C0000026,02-2026,45.4,781
UD00000078,C0000026,01-2026,22.52,108
UD00000079,C0000027,03-2026,9.36,1014
UD00000080,C0000027,02-2026,4.42,634
UD00000081,C0000027,01-2026,8.62,809
UD00000082,C0000028,03-2026,17.45,734
UD00000083,C0000028,02-2026,25.09,291
UD00000084,C0000028,01-2026,7.54,113
UD00000085,C0000029,03-2026,9.7,389
UD00000086,C0000029,02-2026,8.24,1134
UD00000087,C0000029,01-2026,13.9,45
UD00000088,C0000030,03-2026,28.89,132
UD00000089,C0000030,02-2026,57.36,743
UD00000090,C0000030,01-2026,52.93,841
UD00000091,C0000031,03-2026,35.07,91
UD00000092,C0000031,02-2026,27.87,740
UD00000093,C0000031,01-2026,14.52,588
