usage_id,customer_id,usage_month,sms_sent,sms_received
US00000001,C0000001,03-2026,19,20
US00000002,C0000001,02-2026,32,18
US00000003,C0000001,01-2026,21,28
US00000004,C0000002,03-2026,15,24
US00000005,C0000002,02-2026,23,33
US00000006,C0000002,01-2026,19,37
US00000007,C0000003,03-2026,18,28
US00000008,C0000003,02-2026,14,27
US00000009,C0000003,01-2026,18,23
US00000010,C0000004,03-2026,12,32
US00000011,C0000004,02-2026,20,28
US00000012,C0000004,01-2026,14,21
US00000013,C0000005,03-2026,36,20
US00000014,C0000005,02-2026,23,28
US00000015,C0000005,01-2026,38,23
US00000016,C0000006,03-2026,31,18
US00000017,C0000006,02-2026,39,27
US00000018,C0000006,01-2026,32,17
US00000019,C0000007,03-2026,39,34
US00000020,C0000007,02-2026,23,26
US00000021,C0000007,01-2026,34,32
US00000022,C0000008,03-2026,18,25
US00000023,C0000008,02-2026,22,21
US00000024,C0000008,01-2026,14,22
US00000025,C0000009,03-2026,34,26
US00000026,C0000009,02-2026,38,26
US00000027,C0000009,01-2026,31,22
US00000028,C0000010,03-2026,8,25
US00000029,C0000010,02-2026,20,27
US00000030,C0000010,01-2026,18,31
US00000031,C0000011,03-2026,18,26
US00000032,C0000011,02-2026,24,17
US00000033,C0000011,01-2026,18,26
US00000034,C0000012,03-2026,27,23
US00000035,C0000012,02-2026,12,19
US00000036,C0000012,01-2026,21,26
US00000037,C0000013,03-2026,19,20
US00000038,C0000013,02-2026,10,20
US00000039,C0000013,01-2026,16,41
US00000040,C0000014,03-2026,14,29
US00000041,C0000014,02-2026,13,29
US00000042,C0000014,01-2026,15,25
US00000043,C0000015,03-2026,12,26
US00000044,C0000015,02-2026,20,13
US00000045,C0000015,01-2026,14,29
US00000046,C0000016,03-2026,34,34
US00000047,C0000016,02-2026,32,26
US00000048,C0000016,01-2026,37,27
US00000049,C0000017,03-2026,20,26
US00000050,C0000017,02-2026,16,17
US00000051,C0000017,01-2026,15,11
US00000052,C0000018,03-2026,33,22
US00000053,C0000018,02-2026,34,19
US00000054,C0000018,01-2026,34,30
US00000055,C0000019,03-2026,20,38
US00000056,C0000019,02-2026,12,28
US00000057,C0000019,01-2026,13,26
US00000058,C0000020,03-2026,17,31
US00000059,C0000020,02-2026,18,14
US00000060,C0000020,01-2026,21,23
US00000061,C0000021,03-2026,18,23
US00000062,C0000021,02-2026,15,23
US00000063,C0000021,01-2026,19,17
US00000064,C0000022,03-2026,13,24
US00000065,C0000022,02-2026,26,23
US00000066,C0000022,01-2026,16,22
US00000067,C0000023,03-2026,18,25
US00000068,C0000023,02-2026,19,31
US00000069,C0000023,01-2026,20,24
US00000070,C0000024,03-2026,21,28
US00000071,C0000024,02-2026,21,26
US00000072,C0000024,01-2026,17,28
US00000073,C0000025,03-2026,17,20
US00000074,C0000025,02-2026,14,27
US00000075,C0000025,01-2026,14,30
US00000076,C0000026,03-2026,18,25
US00000077,C0000026,02-2026,24,29
US00000078,C0000026,01-2026,15,25
US00000079,C0000027,03-2026,33,25
US00000080,C0000027,02-2026,33,28
US00000081,C0000027,01-2026,29,26
US00000082,C0000028,03-2026,12,27
US00000083,C0000028,02-2026,15,20
US00000084,C0000028,01-2026,19,17
US00000085,C0000029,03-2026,25,20
US00000086,C0000029,02-2026,37,18
US00000087,C0000029,01-2026,32,26
US00000088,C0000030,03-2026,12,22
US00000089,C0000030,02-2026,18,22
US00000090,C0000030,01-2026,19,27
US00000091,C0000031,03-2026,19,22
US00000092,C0000031,02-2026,15,27
US00000093,C0000031,01-2026,17,28
US00000094,C0000032,03-2026,24,27
US00000095,C0000032,02-2026,52,21
US00000096,C0000032,01-2026,35,32
US00000097,C0000033,03-2026,24,22
US00000098,C0000033,02-2026,31,21
US00000099,C0000033,01-2026,40,25
US00000100,C0000034,03-2026,17,33
US00000101,C0000034,02-2026,17,16
US00000102,C0000034,01-2026,19,20
US00000103,C0000035,03-2026,23,20
US00000104,C0000035,02-2026,12,28
US00000105,C0000035,01-2026,13,33
US00000106,C0000036,03-2026,10,30
US00000107,C0000036,02-2026,24,21
US00000108,C0000036,01-2026,25,23
US00000109,C0000037,03-2026,11,22
US00000110,C0000037,02-2026,21,37
US00000111,C0000037,01-2026,22,25
US00000112,C0000038,03-2026,18,18
US00000113,C0000038,02-2026,19,20
US00000114,C0000038,01-2026,7,20
US00000115,C0000039,03-2026,19,28
US00000116,C0000039,02-2026,14,20
US00000117,C0000039,01-2026,16,34
US00000118,C0000040,03-2026,12,17
US00000119,C0000040,02-2026,22,25
US00000120,C0000040,01-2026,23,33
US00000121,C0000041,03-2026,26,30
US00000122,C0000041,02-2026,14,22
US00000123,C0000041,01-2026,12,27
US00000124,C0000042,03-2026,19,29
US00000125,C0000042,02-2026,26,29
US00000126,C0000042,01-2026,19,27
US00000127,C0000043,03-2026,13,22
US00000128,C0000043,02-2026,18,26
US00000129,C0000043,01-2026,23,31
US00000130,C0000044,03-2026,12,25
US00000131,C0000044,02-2026,24,28
US00000132,C0000044,01-2026,18,46
US00000133,C0000045,03-2026,26,22
US00000134,C0000045,02-2026,30,31
US00000135,C0000045,01-2026,44,29
US00000136,C0000046,03-2026,16,21
US00000137,C0000046,02-2026,12,22
US00000138,C0000046,01-2026,11,28
US00000139,C0000047,03-2026,21,27
US00000140,C0000047,02-2026,16,24
US00000141,C0000047,01-2026,19,28
US00000142,C0000048,03-2026,16,26
US00000143,C0000048,02-2026,19,38
US00000144,C0000048,01-2026,20,28
US00000145,C0000049,03-2026,41,26
US00000146,C0000049,02-2026,46,23
US00000147,C0000049,01-2026,32,27
US00000148,C0000050,03-2026,27,17
US00000149,C0000050,02-2026,15,18
US00000150,C0000050,01-2026,16,19
US00000151,C0000051,03-2026,28,29
US00000152,C0000051,02-2026,16,34
US00000153,C0000051,01-2026,12,28
US00000154,C0000052,03-2026,20,27
US00000155,C0000052,02-2026,19,34
US00000156,C0000052,01-2026,15,34
US00000157,C0000053,03-2026,13,21
US00000158,C0000053,02-2026,9,21
US00000159,C0000053,01-2026,12,22
US00000160,C0000054,03-2026,27,33
US00000161,C0000054,02-2026,16,27
US00000162,C0000054,01-2026,9,23
US00000163,C0000055,03-2026,37,22
US00000164,C0000055,02-2026,31,28
US00000165,C0000055,01-2026,27,26
US00000166,C0000056,03-2026,23,27
US00000167,C0000056,02-2026,14,30
US00000168,C0000056,01-2026,9,23
US00000169,C0000057,03-2026,43,29
US00000170,C0000057,02-2026,30,23
US00000171,C0000057,01-2026,42,15
US00000172,C0000058,03-2026,31,24
US00000173,C0000058,02-2026,39,22
US00000174,C0000058,01-2026,36,22
US00000175,C0000059,03-2026,15,36
US00000176,C0000059,02-2026,22,23
US00000177,C0000059,01-2026,22,27
US00000178,C0000060,03-2026,17,18
US00000179,C0000060,02-2026,20,23
US00000180,C0000060,01-2026,16,35
US00000181,C0000061,03-2026,24,25
US00000182,C0000061,02-2026,19,28
US00000183,C0000061,01-2026,17,21
US00000184,C0000062,03-2026,15,20
US00000185,C0000062,02-2026,23,29
US00000186,C0000062,01-2026,21,30
US00000187,C0000063,03-2026,21,19
US00000188,C0000063,02-2026,14,21
US00000189,C0000063,01-2026,14,24
US00000190,C0000064,03-2026,15,29
US00000191,C0000064,02-2026,20,18
US00000192,C0000064,01-2026,15,24
US00000193,C0000065,03-2026,18,18
US00000194,C0000065,02-2026,18,26
US00000195,C0000065,01-2026,23,23
US00000196,C0000066,03-2026,19,13
US00000197,C0000066,02-2026,30,31
US00000198,C0000066,01-2026,18,28
US00000199,C0000067,03-2026,12,19
US00000200,C0000067,02-2026,23,25
US00000201,C0000067,01-2026,24,20
US00000202,C0000068,03-2026,21,17
US00000203,C0000068,02-2026,18,16
US00000204,C0000068,01-2026,20,20
US00000205,C0000069,03-2026,10,28
US00000206,C0000069,02-2026,18,34
US00000207,C0000069,01-2026,13,28
US00000208,C0000070,03-2026,26,31
US00000209,C0000070,02-2026,15,19
US00000210,C0000070,01-2026,16,19
US00000211,C0000071,03-2026,21,28
US00000212,C0000071,02-2026,16,28
US00000213,C0000071,01-2026,14,29
US00000214,C0000072,03-2026,37,28
US00000215,C0000072,02-2026,45,19
US00000216,C0000072,01-2026,28,29
US00000217,C0000073,03-2026,13,21
US00000218,C0000073,02-2026,14,25
US00000219,C0000073,01-2026,14,35
US00000220,C0000074,03-2026,34,23
US00000221,C0000074,02-2026,33,34
US00000222,C0000074,01-2026,39,28
US00000223,C0000075,03-2026,15,27
US00000224,C0000075,02-2026,26,25
US00000225,C0000075,01-2026,21,29
US00000226,C0000076,03-2026,17,29
US00000227,C0000076,02-2026,17,24
US00000228,C0000076,01-2026,10,25
US00000229,C0000077,03-2026,43,24
US00000230,C0000077,02-2026,45,27
US00000231,C0000077,01-2026,34,20
US00000232,C0000078,03-2026,19,10
US00000233,C0000078,02-2026,14,27
US00000234,C0000078,01-2026,20,30
US00000235,C0000079,03-2026,37,26
US00000236,C0000079,02-2026,34,18
US00000237,C0000079,01-2026,31,23
US00000238,C0000080,03-2026,39,23
US00000239,C0000080,02-2026,33,20
US00000240,C0000080,01-2026,34,18
US00000241,C0000081,03-2026,21,22
US00000242,C0000081,02-2026,11,30
US00000243,C0000081,01-2026,19,30
US00000244,C0000082,03-2026,19,29
US00000245,C0000082,02-2026,15,26
US00000246,C0000082,01-2026,18,31
US00000247,C0000083,03-2026,17,26
US00000248,C0000083,02-2026,16,25
US00000249,C0000083,01-2026,21,20
US00000250,C0000084,03-2026,22,24
US00000251,C0000084,02-2026,19,30
US00000252,C0000084,01-2026,21,23
US00000253,C0000085,03-2026,19,28
US00000254,C0000085,02-2026,19,20
US00000255,C0000085,01-2026,21,28
US00000256,C0000086,03-2026,40,22
US00000257,C0000086,02-2026,32,28
US00000258,C0000086,01-2026,30,28
US00000259,C0000087,03-2026,10,24
US00000260,C0000087,02-2026,28,30
US00000261,C0000087,01-2026,24,27
US00000262,C0000088,03-2026,51,26
US00000263,C0000088,02-2026,33,24
US00000264,C0000088,01-2026,34,24
US00000265,C0000089,03-2026,10,24
US00000266,C0000089,02-2026,16,17
US00000267,C0000089,01-2026,15,25
US00000268,C0000090,03-2026,17,24
US00000269,C0000090,02-2026,10,23
US00000270,C0000090,01-2026,18,18
US00000271,C0000091,03-2026,15,21
US00000272,C0000091,02-2026,22,31
US00000273,C0000091,01-2026,20,32
US00000274,C0000092,03-2026,28,26
US00000275,C0000092,02-2026,15,31
US00000276,C0000092,01-2026,18,12
US00000277,C0000093,03-2026,32,20
US00000278,C0000093,02-2026,34,20
US00000279,C0000093,01-2026,43,25
US00000280,C0000094,03-2026,44,16
US00000281,C0000094,02-2026,42,22
US00000282,C0000094,01-2026,28,26
US00000283,C0000095,03-2026,18,30
