usage_id,customer_id,usage_month,voice_minutes_used,outgoing_calls,incoming_calls
UV00000001,C0000001,03-2026,439,356,255
UV00000002,C0000001,02-2026,705,32,694
UV00000003,C0000001,01-2026,206,339,194
UV00000004,C0000002,03-2026,133,485,432
UV00000005,C0000002,02-2026,208,501,84
UV00000006,C0000002,01-2026,236,271,281
UV00000007,C0000003,03-2026,230,564,590
UV00000008,C0000003,02-2026,94,166,491
UV00000009,C0000003,01-2026,179,371,172
UV00000010,C0000004,03-2026,110,243,623
UV00000011,C0000004,02-2026,369,192,413
UV00000012,C0000004,01-2026,85,478,273
UV00000013,C0000005,03-2026,317,91,334
UV00000014,C0000005,02-2026,153,427,223
UV00000015,C0000005,01-2026,63,55,111
UV00000016,C0000006,03-2026,111,447,546
UV00000017,C0000006,02-2026,80,58,523
UV00000018,C0000006,01-2026,67,246,342
UV00000019,C0000007,03-2026,220,344,376
UV00000020,C0000007,02-2026,491,157,405
UV00000021,C0000007,01-2026,269,471,258
UV00000022,C0000008,03-2026,357,165,159
UV00000023,C0000008,02-2026,480,397,695
UV00000024,C0000008,01-2026,583,353,422
UV00000025,C0000009,03-2026,273,444,412
UV00000026,C0000009,02-2026,175,585,116
UV00000027,C0000009,01-2026,40,457,170
UV00000028,C0000010,03-2026,104,23,357
UV00000029,C0000010,02-2026,188,200,348
UV00000030,C0000010,01-2026,13,398,276
UV00000031,C0000011,03-2026,248,232,497
UV00000032,C0000011,02-2026,969,177,283
UV00000033,C0000011,01-2026,382,40,519
UV00000034,C0000012,03-2026,240,229,620
UV00000035,C0000012,02-2026,137,107,279
UV00000036,C0000012,01-2026,95,593,624
UV00000037,C0000013,03-2026,366,279,595
UV00000038,C0000013,02-2026,387,584,144
UV00000039,C0000013,01-2026,163,551,441
UV00000040,C0000014,03-2026,358,576,14
UV00000041,C0000014,02-2026,74,411,163
UV00000042,C0000014,01-2026,108,169,122
UV00000043,C0000015,03-2026,53,109,229
UV00000044,C0000015,02-2026,90,582,623
UV00000045,C0000015,01-2026,70,505,159
UV00000046,C0000016,03-2026,270,262,554
UV00000047,C0000016,02-2026,227,389,331
UV00000048,C0000016,01-2026,398,256,559
UV00000049,C0000017,03-2026,381,542,450
UV00000050,C0000017,02-2026,531,421,322
UV00000051,C0000017,01-2026,105,30,442
UV00000052,C0000018,03-2026,396,30,99
UV00000053,C0000018,02-2026,228,479,649
